village,municipality,state,inali_endonym_ort,inali_endonym_ipa,inali_name
Santiago Chilixtlahuaca,Heroica Ciudad de Huajuapan de León,Oaxaca,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],mixteco del noroeste medio
Tabaco (Guadalupe Tabaco),Heroica Ciudad de Huajuapan de León,Oaxaca,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],mixteco del noroeste medio
Vista Hermosa,Heroica Ciudad de Huajuapan de León,Oaxaca,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],mixteco del noroeste medio
Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco del suroeste central
San Miguel Progreso,Heroica Ciudad de Tlaxiaco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco del suroeste central
Santa María Cuquila,Heroica Ciudad de Tlaxiaco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco del suroeste central
Acalmani,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Chacalapa,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Chimalapa,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
El Capulín,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Igualapa,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Juan Cristóbal (Rancho El Arbolito),Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
La Libertad,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
La Reforma,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
La Victoria,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Llano Grande de Juárez,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Llano Grande de los Hilario,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
San José Buena Vista,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
San Juan de los Llanos,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Tepatahuac,Igualapa,Guerrero,tu’un Isasi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ saβi],mixteco de Igualapa
Barrio de Guadalupe,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Barrio de San Juan,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Barrio Santa Cruz,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Ixpantepec Nieves,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
La Columna (Llano Gordo),Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Santa María Asunción,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
Santa María Natividad,Ixpantepec Nieves,Oaxaca,tu’un da’vi,[tũʔũ ðaʔβi],mixteco del oeste alto
El Potrero Oriental,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
El Tabacal,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
El Terrero,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
Juan R. Escudero,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
La Palma,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
Omitlán,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
San Juan del Reparo (San Juan del Reparo Norte),Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
Tierra Colorada,Juan R. Escudero,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Guerrero de la costa occidental
Cabacuaa,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Chicabaya,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Corona Siniti,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Cuesta Blanca,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
El Carrizal (Loma Tichi),Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Guadalupe Peñasco,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Ignacio Zaragoza,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
La Cumbre Peñasco,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Loma Nujiqui,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Loma Totoletra,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Magdalena Peñasco,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Mirasol,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Olla de Maguey,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Pueblo Viejo,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Río Sordo,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
San Isidro (San Isidro Peñasco),Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
San Juan del Río,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Santa Juanita,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Santo Domingo Huendio,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Shatajiqui,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Tindyuchacoa,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Yosocahua,Magdalena Peñasco,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco central
Alacatlatzala,Malinaltepec,Guerrero,tno̱’on sávi̱ ~ [tnõʔõ saβi˨],NA ~,mixteco de Guerrero central alto
Arroyo San Pedro de Morelos,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Colonia del Obispo (Loma del Obispo),Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Colonia Santa Anita,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Cruz Verde,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Cuatzoquitengo,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
El Portezuelo de Santa Cruz (Cruzamiento),Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
El Rincón (Santa Cruz del Rincón),Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
El Tejocote,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Iliatenco,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
La Unión de las Peras,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Llano de Heno,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Malinaltepec,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Monte Alegre,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Moyotepec (Moyotepec de Juárez),Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Plan de Natividad,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Rancho Viejo,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Salto del Agua,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
San Diego Vista Hermosa,Malinaltepec,Guerrero,tno̱’on sávi̱ ~ [tnõʔõ saβi˨],NA ~,mixteco de Guerrero central alto
Tapayoltepec,Malinaltepec,Guerrero,tno’on savi ~ tu’un savi,[tõʔõ saβi] ~ [tũʔũ saβi],mixteco central de Guerrero
Alto de Mango,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Cañada Mamey,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Concepción las Mesas,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
El Camalote,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
El Carmen Tuxtitlán,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
El Coyul,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
El Mangal,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
El Naranjo,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
La Florida,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
La Palmilla,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
La Parota,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
La Soledad (La Soledad Hidalgo),Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Llano Tigre,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Llano Zacatoso (Tierra Blanca),Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Loma Larga,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Mesones Hidalgo,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Pie de la Cuesta,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Piedra Bola,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Piedra de Casa (Santa Rosa Piedra de Casa),Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Plan de Zaragoza,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Pueblo Nuevo (El Llano),Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
San José de las Flores,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
San Juan la Lima,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Santa María de la Lima,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Tierra Blanca,Mesones Hidalgo,Oaxaca,tu’un savi,[tũʔũ saβi],mixteco de Sierra sur noroeste
Ahuezutla,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Arroyo Chimalapa,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Arroyo Tigrillo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Atzompa (San Pablo Atzompa),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Azoyuc,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca Ceniza,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca de Águila (Yuuvitasu),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca de la Palma,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca Faisán,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca Ocotera,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barranca Pobre (Rancho de Guadalupe) [Yuvi Tia Nda’vi],Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Barrio de San Martín (Palera),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Buena Vista,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cahuañaña,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Calpanapa (Calpanapa El Viejo),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cerro Alto,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cerro de la Lluvia,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cerro del Cántaro,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cerro Perico,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Chilixtlahuaca,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Chilpancinguito,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Chimalapa,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Chon Da Va,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cieneguilla de Cuellar,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cochoapa El Grande del General Adrián Castrejón,Metlatónoc,Guerrero,tu’un savi,[tũʔũ saβi],mixteco de Chochoapa
Cocuilotlazala (Cocuitlazala El Viejo),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Colonia de Guadalupe,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Colonia Guadalupe El Nuevo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Colonia Moreno,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Colonia San José Uno,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cruz Verde,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Cuetzala de la Unión,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Dii Yoo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Divino Pastor,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Dos Ríos,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Aserradero,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Capulín,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Choqui,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Ciruelo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Coyul,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Coyulito (El Corazón),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Naranjo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Paraíso,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Rancho,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
El Zapote Cabezón,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Estrella 2000,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Francisco Villa (Vírgen de la Villa),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Guadalupe la Joya,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Huexoapa,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Ithia Thiehe,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itia Mini Ñuun [Itia Mini Ñuu’un],Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itia Nivehe Xahaxiqui,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itia Thio,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itia Zuti,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itia-Ndichikoo,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Itundeta,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Joya Real,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Juanacatlán,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Kaa Yoso,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Kaesia,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Kavananu,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Kavatiava,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
La Cascada,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
La Ciénega (Yuun Doyo),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
La Peña (Xa Kava Yaa),Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Lagunas,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
Lagunilla Yucutuni,Metlatónoc,Guerrero,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],mixteco de Guerrero del este medio
