address,author,bibtex_type,booktitle,ca_doctype_trigger,ca_language_trigger,chapter,description,edition,editor,endpage_int,gbid,glottolog_id,google_book_search_id,howpublished,iaid,id,inlg,inlg_code,journal,jsondata,keywords,language_note,macroareas,markup_description,med_index,med_pages,med_type,name,normalizedauthorstring,normalizededitorstring,note,number,organization,ozbib_id,pages,pages_int,pk,publisher,school,series,srctrickle,startpage_int,subject,subject_headings,title,type,url,volume,year,year_int
,"Pike, Kenneth L.",article,,,,,Mixtec social 'credit rating': The particular versus the universal in one emic world view,,,,,,,,,61956,English [eng],,Proceeding of the National Academy of Sciences of the United States of America,"{""hhtype"": ""ethnographic"", ""glottolog_ref_id"": ""61956"", ""lgcode"": ""San Miguel El Grande Mixtec [mig]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""20064"", ""country"": ""Mexico [MX]""}",,San Miguel El Grande Mixtec [mig],North America,,13,3,wordlist_or_less,"Pike, Kenneth L. 1986",,,,,,,3047-49,3,245546,,,,sil16#20064,,Ethnography [ETN],,Mixtec social 'credit rating': The particular versus the universal in one emic world view,,,83,1986,1986
,"Pike, Evelyn G.",article,,clause,,,Coordination and its implications for roots and stems of sentence and clause,,,,,,,,,26508,English [eng],,In,"{""hhtype"": ""grammar_sketch (computerized assignment from \""clause\"")"", ""glottolog_ref_id"": ""26508"", ""lgcode"": ""San Miguel El Grande Mixtec [mig]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""11964"", ""country"": ""Mexico [MX]""}",,San Miguel El Grande Mixtec [mig],North America,,1,0,grammar_sketch,"Pike, Evelyn G. 1974",,,,,,,,,245545,,,,sil16#11964,,"Clause structure [CST], Tagmemic Theory [TTH]",,Coordination and its implications for roots and stems of sentence and clause,,,3-27,1974,1974
,"Pike, Kenneth L.",article,,,,,"Cuento mixteco de un conejo, un coyote y la luna",,,,,,,,,133076,Spanish [spa],,Revista Mexicana de Estudios Antropológicos,"{""sil_id"": ""11986"", ""glottolog_ref_id"": ""133076"", ""lgcode"": ""San Miguel El Grande Mixtec [mig]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""country"": ""Mexico [MX]""}",,San Miguel El Grande Mixtec [mig],North America,,16,2,wordlist_or_less,"Pike, Kenneth L. 1948-49",,,,,,,133-34,2,245541,,,,sil16#11986,,Language texts [LTX],,"Cuento mixteco de un conejo, un coyote y la luna",,,10,1948-49,1948
"Fullerton, CA","Pike, Evelyn G.",incollection,LACUS forum XXVII: speaking and comprehending,clause,,,The amplification clause root in San Miguel El Grande Mixtec,,"Ruth M. Brend, Alan K. Melby and Arle R. Lommel",,,,,,,72606,English [eng],,,"{""hhtype"": ""grammar_sketch (computerized assignment from \""clause\"")"", ""sil_id"": ""41490"", ""glottolog_ref_id"": ""72606"", ""lgcode"": ""San Miguel El Grande Mixtec [mig]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,San Miguel El Grande Mixtec [mig],North America,,1,11,grammar_sketch,"Pike, Evelyn G. 2001",,,,,,,259-69,11,245535,Linguistic Association of Canada and The United States,,,"otomanguean#Mixtec270, sil16#41490",,Clauses [CLS],,The amplification clause root in San Miguel El Grande Mixtec,,,,2001,2001
Amsterdam,"Pike, Eunice V. and Kent Wistrand",book,Advances in tagmemics,,,,Step-up Terrace Tone in Acatlán Mixtec,,Ruth M. Brend,,,,,,,153679,,,,"{""sil_id"": ""11962"", ""glottolog_ref_id"": ""153679"", ""lgcode"": ""Southern Puebla Mixtec [mit]"", ""src"": ""otomanguean, sil16, zurich"", ""zurichcode"": ""Mixteco (Southern Puebla) [MIT]"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Southern Puebla Mixtec [mit],North America,,16,24,wordlist_or_less,"Pike, Eunice V. and Kent Wistrand 1974","Wistrand, Kent AND Pike, Eunice V.",,"In Ruth Brend (ed.), Advances in Tagmemics",,,,81-104,24,245531,North-Holland Publishing Company,,North-Holland Linguistic Series,"otomanguean#Mixtec267, sil16#11962, zurich#Pike1974-1",,Tone [TON],,Step-up Terrace Tone in Acatlán Mixtec,,,9,1974,1974
,"Wistrand, Kent and Eunice V. Pike",misc,,,acatlan and up,,Step-up tone in Acatlán Mixtec (Mexico),,,,,,,"En Advances in tagmemics, North-Holland, Amsterdam, pp. 81-104",,304047,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""304047"", ""lgcode"": ""Southern Puebla Mixtec [mit] (computerized assignment from \""acatlan and up\"")""}",,"Southern Puebla Mixtec [mit] (computerized assignment from ""acatlan and up"")",,,16,0,wordlist_or_less,"Wistrand, Kent and Eunice V. Pike 1974",,,,,,,,,245530,,,,otomanguean#Mixtec362,,,,Step-up tone in Acatlán Mixtec (Mexico),,,,1974,1974
Amsterdam,"Small, Priscilla and Eunice V. Pike",misc,Advances in tagmemics,,,,Downstepping terrace tone in Coatzospan Mixtec,,Ruth M. Brend,,,,,"En Advances in tagmemics, North-Holland, Amsterdam, pp. 105-134",,84687,,,,"{""sil_id"": ""11961"", ""glottolog_ref_id"": ""84687"", ""lgcode"": ""Coatzospan Mixtec [miz]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Coatzospan Mixtec [miz],North America,,16,30,wordlist_or_less,"Small, Priscilla and Eunice V. Pike 1974",,,,,,,105-34,30,245524,North-Holland,,North-Holland Linguistic Series,"otomanguean#Mixtec329, sil16#11961",,Tone [TON],,Downstepping terrace tone in Coatzospan Mixtec,,,9,1974,1974
Leiden,"Pérez Jiménez, Gabina Aurora",book,,,chalcatongo,,Sain Sau: Introducción al Mixteco de Chalcatongo,,,,,,,,,308036,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""308036"", ""lgcode"": ""San Miguel El Grande Mixtec [mig] (computerized assignment from \""chalcatongo\"")""}",,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",,,16,0,wordlist_or_less,"Pérez Jiménez, Gabina Aurora 1988",,,,,,,,,242936,University of Leiden,,,otomanguean#Mixtec259,,,,Sain Sau: Introducción al Mixteco de Chalcatongo,,,,1988,1988
Mexico,"Pensinger, Brenda J.",book,,,,,"Diccionario mixteco-español, español-mixteco (Mixteco del este de Jamiltepec, Pueblo de Chayuco)",,,,,,,,,23651,Spanish [spa],,,"{""cfn"": ""north_america\\pensinger_mixteco-chayuco1974.pdf"", ""sil_id"": ""11909"", ""hhtype"": ""dictionary"", ""besttxt"": ""ptxt2\\north_america\\pensinger_mixteco-chayuco1974_o.txt"", ""glottolog_ref_id"": ""23651"", ""lgcode"": ""Chayuco Mixtec [mih]"", ""src"": ""hh, sil16"", ""oclc"": ""702389790"", ""macro_area"": ""North America"", ""fn"": ""north_america\\pensinger_mixteco-chayuco1974_o.pdf, north_america\\pensinger_mixteco-chayuco1974.pdf"", ""country"": ""Mexico [MX]""}",,Chayuco Mixtec [mih],North America,,2,171,phonology_or_text,"Pensinger, Brenda J. 1974",,,,,,,xii+159,171,242390,Instituto Lingüístico de Verano,,"Serie de vocabularios y diccionarios indígenas ""Mariano Silva y Aceves""","hh#d:Pensinger:Mixteco-Chayuco, sil16#11909",,Dictionaries and vocabularies [DAV],,"Diccionario mixteco-español, español-mixteco (Mixteco del este de Jamiltepec, Pueblo de Chayuco)",,,18,1974,1974
"Mexico, D.F.",Brenda J. Pensinger,book,,,,,Dictionario Mixteco-Espanol Espanol-Mixteco,,,,,,,,,93077,,,,"{""src"": ""asjp2010"", ""asjp_name"": ""Mixtec (Chayuco)"", ""macro_area"": ""North America"", ""glottolog_ref_id"": ""93077"", ""lgcode"": ""Chayuco Mixtec [mih]""}",,Chayuco Mixtec [mih],North America,,16,0,wordlist_or_less,Brenda J. Pensinger 1974,,,,,,,,,242389,SIL,,,asjp2010#3619,,,,Dictionario Mixteco-Espanol Espanol-Mixteco,,,,1974,1974
"México, D.F.","Pensinger, Brenda J.",book,,diccionario,,,"Diccionario Mixteco - Español, Español - Mixteco",1,,,,,,,,122101,Spanish [spa],,,"{""class_loc"": ""PM4016.Z5"", ""hhtype"": ""dictionary (computerized assignment from \""diccionario\"")"", ""document_type"": ""B"", ""glottolog_ref_id"": ""122101"", ""lgcode"": ""Jamiltepec Mixtec [mxt]"", ""src"": ""mpieva, wals"", ""mpi_eva_library_shelf"": ""PM 4016 .Z5 DIC 1974"", ""macro_area"": ""North America""}",,Jamiltepec Mixtec [mxt],North America,,2,163,phonology_or_text,"Pensinger, Brenda J. 1974",,,"On cover: Diccionario mixteco; mixteco del este de Jamiltepec pueblo de Chayuco ... gramatica mixteca, apendices, mapas",,,,xii+151,163,242388,México: Instituto Ligüístico de Verano,,Serie de Vocabularios y Diccionarios Indigenas Mariano Silva y Aceves,"mpieva#Pensinger1974Dicciona, wals#4676",,,"Mixtec language–Dictionaries–Spanish, Spanish language–Dictionaries–Mixtec, Mixtec language–Dictionaries–Spanish – Spanish language–Dictionaries–Mixtec","Diccionario Mixteco - Español, Español - Mixteco",,,18,1974,1974
,"Pensinger, Brenda J.",book,,,chayuco,,Diccionario mixteco[;] mixteco del este de Jamiltepec[;] pueblo de Chayuco[;] mixteco-español español-mixteco[;] gramática mixteca[;] apéndices[;] mapas,,,,,,,,,300140,Spanish [spa],,,"{""src"": ""otomanguean"", ""glottolog_ref_id"": ""300140"", ""lgcode"": ""Chayuco Mixtec [mih] (computerized assignment from \""chayuco\"")""}",,"Chayuco Mixtec [mih] (computerized assignment from ""chayuco"")",,,16,0,wordlist_or_less,"Pensinger, Brenda J. nd",,,,,,,,,242387,,,,otomanguean#Mixtec254,,,,Diccionario mixteco[;] mixteco del este de Jamiltepec[;] pueblo de Chayuco[;] mixteco-español español-mixteco[;] gramática mixteca[;] apéndices[;] mapas,,,,,
,Laurel Penner,misc,,,,,Aprendamos a leer en mixteco: Tomo I,,,,,,,México: Instituto Lingüśtico de Verano,,318869,Spanish [spa],,,"{""src"": ""hh"", ""hhtype"": ""wordlist"", ""macro_area"": ""North America"", ""glottolog_ref_id"": ""318869"", ""lgcode"": ""Ixtayutla Mixtec [vmj]""}",,Ixtayutla Mixtec [vmj],North America,,7,38,wordlist_or_less,Laurel Penner 2011,,,,,,,38,38,242314,,,,hh#w:Penner:Mixteco,,,,Aprendamos a leer en mixteco: Tomo I,,,,2011,2011
Santa Barbara,"Mary Paster and Beam de Azcona, Rosemary",incollection,Proceedings of the 7th Annual Workshop on American Indigenous Languages,,,,A Phonological Sketch of the Yucunany Dialect of Mixtepec Mixtec,,Lea Harper and Carmen Jany,,,,,,,317761,English [eng],,,"{""cfn"": ""north_america\\paster-azcona_yucunany-mixtec2004.pdf"", ""hhtype"": ""phonology"", ""delivered"": ""north_america\\paster-azcona_yucunany-mixtec2004.pdf"", ""glottolog_ref_id"": ""317761"", ""lgcode"": ""Mixtepec Mixtec [mix]"", ""src"": ""hh"", ""macro_area"": ""North America"", ""fn"": ""north_america\\paster-azcona_yucunany-mixtec2004.pdf"", ""besttxt"": ""ptxt2\\north_america\\paster-azcona_yucunany-mixtec2004.txt""}",,Mixtepec Mixtec [mix],North America,,4,16,phonology_or_text,"Mary Paster and Beam de Azcona, Rosemary 2004",,,,,,,61-76,16,240323,University of California,,Santa Barbara Working Papers in Linguistics,hh#phon:PasterAzcona:Yucunany-Mixtec,,,,A Phonological Sketch of the Yucunany Dialect of Mixtepec Mixtec,,,15,2004,2004
Ann Arbor,"De León Pasquel, Maria de Lourdes",phdthesis,,,,,Noun and numeral classifiers in Mixtec and Tzotzil: a referential view,,,,,,,"Tesis de doctorado, Universidad de Sussex, Inglaterra. 234 pp. Resumen publicado en Dissertation abstracts international, vol. 50/02-A, p. 429",,306076,English [eng],,,"{""cfn"": ""north_america\\deleon_mixtec1988_o.pdf"", ""omnote"": ""(1989?) y vol. 51:5, 1594A-1595A (1990)"", ""glottolog_ref_id"": ""306076"", ""document_type"": ""B"", ""mpi_eva_library_shelf"": ""PM 4466 DE 2003"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""class_loc"": ""PM4466"", ""src"": ""hh, mpieva, otomanguean"", ""lgcode"": ""16th cent Mixtec of Guerrero, Coatzoquitengo Mixtec = Mixtec-Alacatlatzala [mim], Tzotzil [tzo]"", ""delivered"": ""north_america\\deleon_mixtec1988_o.pdf"", ""hhtype"": ""specific_feature"", ""mpifn"": ""mixtec_deleon1988_o.pdf"", ""fn"": ""north_america\\deleonpasquel_referential1988.pdf, north_america\\deleon_mixtec1988_o.pdf, north_america/deleon_mixtec1988_o.pdf"", ""besttxt"": ""ptxt2\\north_america\\deleon_mixtec1988_o.txt""}",,"16th cent Mixtec of Guerrero, Coatzoquitengo Mixtec = Mixtec-Alacatlatzala [mim], Tzotzil [tzo]",North America,,3,116,phonology_or_text,"De León Pasquel, Maria de Lourdes 1988",,,,,,,xv+216,231,240278,UMI,University of Brighton,,"hh#typ:Pasquel:Mixtec-Tzotzil, mpieva#De1988Nounandn, otomanguean#Mixtec40",,,,Noun and numeral classifiers in Mixtec and Tzotzil: a referential view,,,,1988,1988
,"Pankraz, Leo and Eunice V. Pike",article,,phonology,,,Phonology and Morphophonemics of Ayutla Mixtec,,,,,,,,,72572,English [eng],,International Journal of American Linguistics,"{""src"": ""wals"", ""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""macro_area"": ""North America"", ""glottolog_ref_id"": ""72572"", ""lgcode"": ""Ayutla Mixtec [miy]""}",,Ayutla Mixtec [miy],North America,,4,13,phonology_or_text,"Pankraz, Leo and Eunice V. Pike 1967",,,,4,,,287-299,13,239097,,,,wals#4601,,,,Phonology and Morphophonemics of Ayutla Mixtec,,,33,1967,1967
,"Pankratz, Leo",misc,,,ayutla,,Ayutla Mixtec kinship terms,,,,,,,"En Merrifield 1981 (sección general), pp. 155-157",,307652,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""307652"", ""lgcode"": ""Ayutla Mixtec [miy] (computerized assignment from \""ayutla\"")""}",,"Ayutla Mixtec [miy] (computerized assignment from ""ayutla"")",,,16,0,wordlist_or_less,"Pankratz, Leo 1981",,,,,,,,,239094,,,,otomanguean#Mixtec251,,,,Ayutla Mixtec kinship terms,,,,1981,1981
,"Pankratz, Leo and Eunice V. Pike",article,,phonology,,,Phonology and morphotonemics of Ayutla Mixtec,,,,,,,,,64541,English [eng],,International journal of American linguistics,"{""omnote"": ""[mixteco de Tepango]"", ""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""sil_id"": ""11883"", ""glottolog_ref_id"": ""64541"", ""lgcode"": ""Ayutla Mixtec [miy]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Ayutla Mixtec [miy],North America,,4,13,phonology_or_text,"Pankratz, Leo and Eunice V. Pike 1967",,,,4,,,287-299,13,239093,,,,"otomanguean#Mixtec252, sil16#11883",,Phonological descriptions [PHD],,Phonology and morphotonemics of Ayutla Mixtec,,,33,1967,1967
Coyoacán,"Stark C., Sharon Sara and Johnson P., Audrey Andrea and González de Guzmán, Benita",book,,diccionario,,,"Diccionario básico del mixteco de Xochapa, Guerrero",2,,,,,,,,52598,Spanish [spa],,,"{""class_loc"": ""PM4016.Z5"", ""mpifn"": ""mixteco_stark2003_s.html"", ""hhtype"": ""dictionary (computerized assignment from \""diccionario\"")"", ""lgcode"": ""Alcozauca Mixtec [xta]"", ""glottolog_ref_id"": ""52598"", ""fnnote"": ""pdf, 2.31 MB"", ""src"": ""mpieva"", ""document_type"": ""CF"", ""macro_area"": ""North America"", ""fn"": ""north_america/stark_mixteco2003_s.pdf""}",,Alcozauca Mixtec [xta],North America,,2,164,phonology_or_text,"Stark C., Sharon Sara and Johnson P., Audrey Andrea and González de Guzmán, Benita 2003",,,,,,,164,164,237869,Inst. Lingüístico de Verano,,,mpieva#Stark2003Dicciona,,,"Mixtec language–Dictionaries–Spanish, Mixtec language–Mexico–Guerrero (State), Spanish language–Dictionaries–Mixtec, Mixtec language–Grammar, Mixtec language–Dictionaries–Spanish – Mixtec language–Mexico–Guerrero (State) – Spanish language–Dictionaries–Mixtec – Mixtec language–Grammar","Diccionario básico del mixteco de Xochapa, Guerrero",,,,2003,2003
Mexico,"Overholt, Edward",incollection,A William Cameron Townsend en el vigésimoquinto aniversario del Instituto Lingüístico de Verano,,,,The tonemic system of Guerrero Mixteco,,Benjamin F. Elson and Juan Comas,,,,,"En M. Gamio y R. Noriega, organizadores, A William Cameron Townsend en el vigésimoquinto aniversario del Instituto Lingüístico de Verano, México, D. F., pp. 597-626",,132369,English [eng],,,"{""omnote"": ""[mixteco de Metlat\u00f3noc]"", ""sil_id"": ""11881"", ""hhtype"": ""phonology"", ""glottolog_ref_id"": ""132369"", ""lgcode"": ""Metlat\u00f3noc Mixtec [mxv]"", ""src"": ""hh, otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""fn"": ""south_america\\elson-comas_townsend1961pages.pdf, north_america\\elson-comas_townsend1961pages_o.pdf"", ""country"": ""Mexico [MX]""}",,Metlatónoc Mixtec [mxv],North America,,4,30,phonology_or_text,"Overholt, Edward 1961",,,,,,,597-626,30,237484,Instituto Lingüístico de Verano,,,"hh#phon:Overholt:Metlatonoc, otomanguean#Mixtec247, sil16#11881",,Ethnography [ETN],,The tonemic system of Guerrero Mixteco,,,,1961,1961
,"Arana Osnaya, Evangelina",article,,,,,Relaciones internas del Mixteco-Trique,,,,,,,,,415612,,,Anales del Instituto Nacional de Antropología e Historia,"{""src"": ""hh"", ""hhtype"": ""overview;comparative;wordlist"", ""macro_area"": ""North America"", ""glottolog_ref_id"": ""415612"", ""lgcode"": ""Amuzgo Ometepec, Trique Chicahuaxta, Cuicateco-Tepeuxila, Mixteco-Cuyamee = Mixtec-Cuyamecalco [xtu], Mixteco-Huitepec = Mixtec-Huitepec [mxs], Mixteco-Mechoac\u00e1n""}",,"Amuzgo Ometepec, Trique Chicahuaxta, Cuicateco-Tepeuxila, Mixteco-Cuyamee = Mixtec-Cuyamecalco [xtu], Mixteco-Huitepec = Mixtec-Huitepec [mxs], Mixteco-Mechoacán",North America,,7,10,wordlist_or_less,"Arana Osnaya, Evangelina 1959",,,,,,,219-273,55,236698,,,,hh#hvw:Arana:Mixteco-Trique,,,,Relaciones internas del Mixteco-Trique,,,XII,1959,1959
,"Oram, Joy",mastersthesis,,,,,A sketch of Mixtec grammar,,,,7nbbNwAACAAJ,,,,,50485,English [eng],,,"{""omnote"": ""[mixteco de Diuxi]"", ""hhtype"": ""grammar_sketch"", ""sil_id"": ""11864"", ""glottolog_ref_id"": ""50485"", ""lgcode"": ""Diuwi [xtd]"", ""src"": ""hh, otomanguean, sil16"", ""oclc"": ""475120507"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Diuwi [xtd],North America,,1,101,grammar_sketch,"Oram, Joy 1970",,,,,,,101,101,235923,,Columbia Bible College,,"hh#s:Oram:Diuxi, otomanguean#Mixtec241, sil16#11864",,Grammatical descriptions [GRD],,A sketch of Mixtec grammar,,,,1970,1970
,"Oram, Joy",book,,,tilantongo;diuxi,,"Leamos mixteco, cartilla de transición, Mixteco de San Juan Diuxi y Santiago Tilantongo",,,,,,,,,305638,Spanish [spa],,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""305638"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from \""tilantongo;diuxi\"")""}",,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""tilantongo;diuxi"")",,,16,48,wordlist_or_less,"Oram, Joy 1979",,,,,,,48,48,235922,Instituto Lingüístico de Verano,,,otomanguean#Mixtec242,,,,"Leamos mixteco, cartilla de transición, Mixteco de San Juan Diuxi y Santiago Tilantongo",,,,1979,1979
,"Oram, Joy",misc,,,diuxi,,Diuxi Mixtec kinship terms,,,,,,,"En Merrifield 1981 (sección general), pp. 163-165",,312785,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""312785"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from \""diuxi\"")""}",,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",,,16,0,wordlist_or_less,"Oram, Joy 1981",,,,,,,,,235921,,,,otomanguean#Mixtec243,,,,Diuxi Mixtec kinship terms,,,,1981,1981
,"Oram, Joy and Eunice V. Pike",book,,phonemes,diuxi,,The Phonemes of Diuxi Mixtec,,,,,,,,,313772,English [eng],,,"{""src"": ""otomanguean"", ""hhtype"": ""phonology (computerized assignment from \""phonemes\"")"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""313772"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from \""diuxi\"")""}",,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",,,4,0,phonology_or_text,"Oram, Joy and Eunice V. Pike n.d",,,,,,,,,235920,ms,,,otomanguean#Mixtec244,,,,The Phonemes of Diuxi Mixtec,,,,n.d,
,"Pike, Eunice V. and Joy Oram",article,,phonology,,,Stress and tone in the phonology of Diuxi Mixtec,,,,,,,,,8676,English [eng],,Phonetica,"{""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""sil_id"": ""16335"", ""glottolog_ref_id"": ""8676"", ""lgcode"": ""Diuxi-Tilantongo Mixtec [xtd]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Diuxi-Tilantongo Mixtec [xtd],North America,,4,13,phonology_or_text,"Pike, Eunice V. and Joy Oram 1976",,,,5,,,321-333,13,235919,,,,"otomanguean#Mixtec265, sil16#16335",,Suprasegmentals [SPS],,Stress and tone in the phonology of Diuxi Mixtec,,,33,1976,1976
,"Williams, Judith and Torres Benavides, Liborio and Ojeda M., Gerardo",book,,diccionario,,,"Diccionario mixteco de San Andrés Yutatio, Tezoatlán, Oaxaca, volumen 1: A-M",,,,,,,,,109846,Spanish [spa],,,"{""hhtype"": ""dictionary (computerized assignment from \""diccionario\"")"", ""glottolog_ref_id"": ""109846"", ""lgcode"": ""Tezoatl\u00e1n Mixtec [mxb]"", ""src"": ""sil16"", ""macro_area"": ""North America"", ""sil_id"": ""44644"", ""country"": ""Mexico [MX]""}",,Tezoatlán Mixtec [mxb],North America,,2,0,phonology_or_text,"Williams, Judith and Torres Benavides, Liborio and Ojeda M., Gerardo 2003",,,,,,,,,234210,"Mexico, D",,,sil16#44644,,Dictionaries and vocabularies [DAV],,"Diccionario mixteco de San Andrés Yutatio, Tezoatlán, Oaxaca, volumen 1: A-M",,,,2003,2003
,"North, Joanne",misc,,,,,Participant tracing and prominence in Silacayoapan Mixtec,,,,,,,"En S.I.L.-Mexico Workpapers, no. 8, pp. 101-128",,116369,English [eng],,SIL Mexico Workpapers,"{""sil_id"": ""21349"", ""glottolog_ref_id"": ""116369"", ""lgcode"": ""Silacayoapan Mixtec [mks]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Silacayoapan Mixtec [mks],North America,,16,29,wordlist_or_less,"North, Joanne 1987",,,,,,,100-128,29,231426,,,,"otomanguean#Mixtec233, sil16#21349",,Participant orientation [PRO],,Participant tracing and prominence in Silacayoapan Mixtec,,,8,1987,1987
,"North, Joanne and Jäna Shields",misc,,,silacayoapan,,Silacayoapan Mixtec kinship terms,,,,,,,"En Merrifield 1981 (sección general), pp. 179-182",,309000,,,,"{""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""309000"", ""lgcode"": ""Silacayoapan Mixtec [mks] (computerized assignment from \""silacayoapan\"")""}",,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",,,16,0,wordlist_or_less,"North, Joanne and Jäna Shields 1981",,,,,,,,,231423,,,,otomanguean#Mixtec240,,,,Silacayoapan Mixtec kinship terms,,,,1981,1981
Dallas,"North, Joanne and Jäna Shields",misc,Studies in Otomanguean phonology,phonology,,,Silacayoapan Mixtec phonology,,William R. Merrifield,,,,,"En Merrifield 1977 (sección general), pp. 21-33",,23059,English [eng],,,"{""hhtype"": ""phonology (computerized assignment from \""phonology\"")"", ""sil_id"": ""16244"", ""glottolog_ref_id"": ""23059"", ""lgcode"": ""Silacayoapan Mixtec [mks]"", ""src"": ""otomanguean, sil16"", ""macro_area"": ""North America"", ""otomanguean_heading"": ""Mixtec"", ""country"": ""Mexico [MX]""}",,Silacayoapan Mixtec [mks],North America,,4,13,phonology_or_text,"North, Joanne and Jäna Shields 1977",,,,,,,21-33,13,231422,Summer Institute of Linguistics and the University of Texas at Arlington,,Summer Institute of Linguistics Publications in Linguistics,"otomanguean#Mixtec237, sil16#16244",,Phonological descriptions [PHD],,Silacayoapan Mixtec phonology,,http://www.sil.org/acpub/repository/16244.pdf,54,1977,1977
Mexico,"North, Joanne and Jäna Shields",book,,gramatica,silacayoapan,,Gramática Popular del Mixteco: Mixteco de Silacayoapan,,,,,,,,,311658,,,,"{""src"": ""otomanguean"", ""hhtype"": ""grammar (computerized assignment from \""gramatica\"")"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""311658"", ""lgcode"": ""Silacayoapan Mixtec [mks] (computerized assignment from \""silacayoapan\"")""}",,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",,,0,0,grammar,"North, Joanne and Jäna Shields 1978",,,,,,,,,231420,Summer Institute of Linguistics,,,otomanguean#Mixtec238,,,,Gramática Popular del Mixteco: Mixteco de Silacayoapan,,,,1978,1978
,"North, Joanne and Jäna Shields, compiladoras",article,,,silacayoapan,,"nthropological Linguisticso que sucedió a los que fueron a Culiacán[;] Já nandoho ñayivi tá nasahan na Culiacán relato en mixteco de Silacayoapan, Oaxaca",,,,,,,,,305345,,,Tlalocan,"{""omnote"": ""[mixteco de San Jer\u00f3nimo Progreso, Silacayoapan]"", ""src"": ""otomanguean"", ""otomanguean_heading"": ""Mixtec"", ""glottolog_ref_id"": ""305345"", ""lgcode"": ""Silacayoapan Mixtec [mks] (computerized assignment from \""silacayoapan\"")""}",,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",,,16,11,wordlist_or_less,"North, Joanne and Jäna Shields, compiladoras 1980",,,,,,,231-241,11,231419,,,,otomanguean#Mixtec239,,,,"nthropological Linguisticso que sucedió a los que fueron a Culiacán[;] Já nandoho ñayivi tá nasahan na Culiacán relato en mixteco de Silacayoapan, Oaxaca",,,8,1980,1980
