Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
72,cútúñú íñi y0,vi,nos preocupamos,"Cutuñú iñi yu tsa cuenda mbee jana yu tyin ñata catsi ti. Me preocupa mi oveja, porque no ha comido.",cuá cútuñu íñi yo,cutúñú íñi yo
73,cuuhví yo,vi,estamos enfermos,Jutu yu cuuhví xaan ra cahñi. Mi papá está enfermo con calentura.,cuá cúhvi yó,cúhvi yo
74,cúún tsí,vi,se baja,"Ndihi ñi quivi cuún savi, vico savi. En el tiempo de lluvias, llueve todos los días. (lit: se baja la lluvia)",cuá cuun tsi,cúun tsi
75,cu úñi adv miércoles (lit: día tres) Véase quivi cuví (cúvi) v,aux,"puede, se puede","Cuví cuhva yo jubva nuñi tsi ña ndaahvi can, yoñi nducu catsi ña. Podemos darle un poco de maíz a esa pobre, porque no hay nadie que le dé de comer.",cua cuvi,cuvi
76,"cúví yó, cúú yó",vi,somos,"Tun tsa tsahnu yu, cua cuvi yu dotor. Cuando yo sea grande, seré doctor.",cuá cuvi yo,cuvi yo
77,iin ñi cuví yo,vi,NA,"estamos de acuerdo cuvi yo, cuu yo (cuvi yo. cuú yo)",NA,futuro de tsihí yo nos moriremos
78,cúxáan yo 1.,vi,nos enojamos,"Tsihnga tahan yu tsi ra Juaan; ña cahan maa ra tsihin yu. Cuxaán ra tucuví. Hace rato encontré a Juan, pero no me habló. Está enojado, creo. 2. vt regañamos Taahán tsi cuxaan yo tsi ra, tyin ña vaha ica ra. Es necesario que lo regañemos a él porque no hizo bien.",cuá cuxáán yó,cuxaán yo Véase xaan
78,"cúxáan yo 1. vi nos enojamos Tsihnga tahan yu tsi ra Juaan; ña cahan maa ra tsihin yu. Cuxaán ra tucuví. Hace rato encontré a Juan, pero no me habló. Está enojado, creo. 2.",vt,regañamos,"Taahán tsi cuxaan yo tsi ra, tyin ña vaha ica ra. Es necesario que lo regañemos a él porque no hizo bien.",cuá cuxáán yó,cuxaán yo Véase xaan
79,cúxi tsi,vi,"se enmohece, se oxida, se aherrumbra",Cuxi arru tu ña netyi tsi. El arroz se enmohece si no se seca.,cuá cúxi tsi,cúxi tsi
80,cúxiñí yo,vi,cenamos,Catsaha yo cuxiñi yo tyin tsa iyó hora. Empezamos a cenar porque ya es la hora.,cuá cuxiñí yo,cuxiñí yo)
81,cúyáhvi tsi,vi,se vende,Cuaha xaan tsa cuyahví nuyahvi nyehe yu nañi. Hace rato vi que en la plaza venden muchas cosas.,cua cúyáhvi tsi,cúyahvi tsi)
81,cúyáhvi tsi vi se vende Cuaha xaan tsa cuyahví nuyahvi nyehe yu nañi. Hace rato,vi,NA,que en la plaza venden muchas cosas.,cua cúyáhvi tsi,cúyahvi tsi)
82,cúyátyi yo,vi,tenemos tiempo,Tyaan cubun yu tsihin un cua cahnya yo tsiin; cuyatyí xaan yu tyin nduve ca nu tsicá yu. Mañana voy a cortar la roza contigo; tengo mucho tiempo porque no tengo que ir a ningún lado.,cuá cuyátyi yó,cúyatyi y0 Véase yatyi
83,iin ñi cúví yó,vi,estamos de acuerdo lin ñi cuví yu tsihin tandihi yañi yu ndaa tyiñu natuhún ndi.,Estoy de acuerdo con mis hermanos sobre cualquier asunto que platicamos.,iin ñi cuá cúvi yo,¡in ñi cúvi yo
84,"inú s 1. el vidrio Gabinete ihya ndasi inu tsi cuhva ña quihvi nyahyu tsitsi coho. Las puertecitas de vidrio de este gabinete están cerradas, y de esta manera no entra tierra en los trastes. 2. el espejo Iñí juhva nyahyu nuu cun, tan tatu cuñí un nyehe un, quihin inu nyehe un nuu cun. Tienes un poco de lodo en la cara; si quieres vértela, agarra el espejo y mira. 3. los anteojos Jutu yu tsiñiñuhú xaan inu cunyaa nuu ra, tyin ña nditsin ca nyehé ra. Mi papá necesita anteojos, porque ya no",ve,NA,NA,NA,claramente.
85,íñí tsí,vi,está en,Yacan nyaá ra cahyí ra yuhva tsata yuu nu iñí tijinda can. Por eso estaba allí sentado tiñiendo el hilo en la piedra donde había mejillones.,cuá cuiñi tsi,tsiñi tsi
86,na ityí iñi yo,vi,NA,NA,tenemos sed na ityí tsi vi se seca nyayu ityi nyaa fii s la cecina ityi (ityi) 1. s el camino Cuaha xaan nyivi tsica ityi ñuu San Juan. Mucha gente caminó por el camino a San Juan. 2. prep en el área de,"en la zona de, en Ityi cuhu nyehé xaan yo cuañu. En el monte vemos muchas ardillas."
86,na ityí iñi yo vi tenemos sed na ityí tsi,vi,NA,NA,se seca nyayu ityi nyaa fii s la cecina ityi (ityi) 1. s el camino Cuaha xaan nyivi tsica ityi ñuu San Juan. Mucha gente caminó por el camino a San Juan. 2. prep en el área de,"en la zona de, en Ityi cuhu nyehé xaan yo cuañu. En el monte vemos muchas ardillas."
87,"íxtá yo, xítá yo 1.",vt,jalamos,"Ixta cama can quitsi ityi ihya, tyin ihya cua cunyaa can. Jale esa cama para acá, porque aquí va a estar. 7 2. ixtá tsi, xitá tsi vi se jala Nihi xaan ixtá tsi yuhva luna can tyin ñihi yihí tatyi. El hilo de ese papalote se jala muy fuerte porque sopla muy fuerte el aire.",cuá ixta yó,ixta yó
87,"íxtá yo, xítá yo 1. vt jalamos Ixta cama can quitsi ityi ihya, tyin ihya cua cunyaa can. Jale esa cama para acá, porque aquí va a estar. 7 2. ixtá tsi, xitá tsi",vi,se jala,Nihi xaan ixtá tsi yuhva luna can tyin ñihi yihí tatyi. El hilo de ese papalote se jala muy fuerte porque sopla muy fuerte el aire.,cuá ixta yó,ixta yó
88,"íxtá cáá yó, xitá cáá yó",vt,arrastramos,"Yuhu tsicá xaan iñi yu cuñí yu tsinu vehe yu. Canyii iin yutun cuñí yu quitsi nuhu tun tan yoñi yoo cuxita caa tsi tun. Yo pienso mucho en hacer una casa; tengo un palo que quiero que se traiga a la casa, pero no tengo a nadie que me lo arrastre para traerlo.",cuá ixta cáá yó,ixta cáá yó
89,iyó yo,vi,1. hay,Jahá tyiña yo tyin coo tsa catsi yo. Trabajamos para que haya de comer. 2. existimos Iyó Nyoo. Dios existe. 3. vivimos Vaha xaan iyó ra tyin iyó yahvi ra. Vive bien porque tiene sueldo. 4. iyó tsi tsi yo tenemos (lit: existe para nosotros) Iyó uvi taahan vehe tsi yo. Tenemos dos casas.,cuá coo yo,"tsicoo yo iyo (iy0) adv espantoso, sorprendente Cuhva tsa tsiñi yu caahán loro, iyo xaan cuñi yu. Cuando oí hablar el loro, me sorprendió mucho."
90,iyó íñi y0,ve,NA,NA,tenemos voluntad,deseamos Iyo iñi yu jaha tyiñu yu tsihin un. Tengo deseos de trabajar contigo.
91,jácáhán yo,vt,1. hacemos hablar,Cua jacahan yu loro jana yu na cutuhva ti cahan ti. Haré hablar a mi loro para que aprenda a hablar. 2. aconsejamos Cuaha xaan tsa jacahán ra cumi tyiñu tsi nyivi ñuu. Las autoridades aconsejan mucho a la gente del pueblo.,cua jácahan yo,jácahan yo
92,jácáhnú yó,vt,"adoramos, festejamos, honramos",Vaha xaan tsa jacahnu yo tsi ra Nyoo. Es muy bueno adorar a Dios.,cuá jacahnu yo,"jácahnu yo Véase cahnu jacanaá yo (jácánáa yo) vt ganamos Icu tsahan yu tsicutu yu itu, jacanaa yu uvi cientu sasava. Ayer fui a limpiar una milpa y gané doscientos cincuenta pesos. [cuá jácanaa yo, jácanaa yo]"
92,"jácáhnú yó vt adoramos, festejamos, honramos Vaha xaan tsa jacahnu yo tsi ra Nyoo. Es muy bueno adorar a Dios. [cuá jacahnu yo, jácahnu yo] Véase cahnu jacanaá yo (jácánáa yo)",vt,ganamos,"Icu tsahan yu tsicutu yu itu, jacanaa yu uvi cientu sasava. Ayer fui a limpiar una milpa y gané doscientos cincuenta pesos.",cuá jácanaa yo,jácanaa yo
93,jácányáhá yó,vt,"movemos, cambiamos (de lugar) 1Iyó intuhun indiqui jana yu, tsahan yu jacanyaha yu tsi ti.",Tengo un toro y fui a cambiarlo de lugar.,cuá jácányaha yo,jácanyaha yo
94,jacáyu y0,vt,"hacemos quemar, quemamos, prendemos",Na María jacayú ña ñuhu xuu quisi. María está prendiendo lumbre debajo     de la olla.,cuá jacáyú yo,jacáyú yo Sinón tsahmí yo
95,jácóó yó,vt,"hacemos, causamos que haya","Tsihin xuhun jacanaa yu nu jahá tyiñu yu cua jacoo yu ¡in nucuyahvi. Con el dinero que gané en el trabajo, voy a hacer una tienda.",cuá jácoo yo,jácoo yo
96,jacótó yó,vt,"hacemos conocer, avisamos, aconsejamos",Jacoto yu tsi ñahnu ican cuñi tyin coo ña tucahnu iñi tsihin cuhva ña. Anoche le aconsejé a esa señora que perdone a su hermano.,cuá jacoto yo,jácoto yo
97,jacuáhá yó,vt,enseñamos,Iyó uñi taahan ñi tsahnu jacuahá xaan yu cuhva javaha ñi pan. Estoy enseñando a tres señoras cómo hacer pan.,cua jácuaha yo,jácuaha yo
98,jacúhún yó,vt,"1. hacemos ir, mandamos","Cua jacuhun ra tyiñu nuu yoho caa nu nyií ra Xicu nda Nucoohyo. El va a mandar un telegrama a México, donde está Francisco. 2. ponemos Jacuhun yiqui tucu un nu yucú cuaha tyaca ican. Pon tu anzuelo más allá donde están los peces.",cua jacuhun yo,"jacuhun yo jacunú yo (jacúnú yó) vt hacemos correr Jacunú yo ndivi tyin tsatsí xaan ti yutsan. Hacemos correr a las gallinas, porque comen mucha masa. [cuá jácunu yo, jácunu yo]"
98,"jacúhún yó vt 1. hacemos ir, mandamos Cua jacuhun ra tyiñu nuu yoho caa nu nyií ra Xicu nda Nucoohyo. El va a mandar un telegrama a México, donde está Francisco. 2. ponemos Jacuhun yiqui tucu un nu yucú cuaha tyaca ican. Pon tu anzuelo más allá donde están los peces. [cua jacuhun yo, jacuhun yo] jacunú yo (jacúnú yó)",vt,hacemos correr,"Jacunú yo ndivi tyin tsatsí xaan ti yutsan. Hacemos correr a las gallinas, porque comen mucha masa.",cuá jácunu yo,jácunu yo
99,jácúsu yo,vt,hacemos dormir,"Jacusú yo tsi ra luhlu, tyin caña xaan ra, ta cuhun yo tyiñu. Hacemos dormir al niño, porque él es muy travieso, y luego vamos al mandado.",cuá jacusú yó,jacusú yo
100,jácútú yó,vt,llenamos,Cohon cujacutu yo nyiti tsitsi carru tsihin yu. Vámonos a llenar de arena el carro.,cua jácutu yo,jácutu yo
101,jacútú yó,vt,adornamos,"Vityin jacutu ra vehe ñuhu tyin cua tandaha intuhun yañi ra. Ahora va a adornar la iglesia, porque se va a casar un hermano de él.",cuá jacutu yo,jácutu yo
102,jacútyí yó,vt,bañamos,"Tatu tsacú xaan lee can tsa cuenda tsa ihñi, jacutyi tsi, tan cutaxin tsi. Si el nene llora mucho por el calor, báñalo, y así se calma.",cua jácutyi yo,jacutyi yo
103,"jácúví yó, jácúú yó",vt,"hacemos, causamos que sea",Cuiya ihya taahán tsi cua jacuvi un tyiñu vehe tyiñu. Este año te toca ser miembro de la presidencia. (lit: vas a hacer trabajo en la presidencia),cuá jacuvi yo,jácuvi yo
104,jáhá yó v,aux,Indica quién causa la acción de la oración.,Tsitsi quisi tyihyó ndutyi jahá yu. Estoy cociendo frijoles en la olla. (lit: los frijoles están cociendo en la olla causado por mi),cua jaha yó,jáhá yo
105,"jáhá cuénda yo, jáhá yó cuéndá",vt,cuidamos,Jaha cuenda vaha xuhun un coto cunaa can. Cuida bien tu dinero para que no lo pierdas.,cua jahá cuénda yó,"cuá jáha yo cuendá; jahá cuénda yo, jaha yo cuendá Sinón cumí yo, cumí cuenda yo"
106,janáhá yó,vt,NA,NA,1. mostramos Sii xaan caá iin vestido janaha ña tsi yu. Estaba bonito un vestido que ella me mostró. 2. enseñamos Vaha xaan janahá ra maestru can tsi ra nyihi,¡in yaha ñi cutuhvá ra naha. Ese maestro enseña muy bien a los niños;
107,jándáhá yó,vt,NA,señalamos (con la mano) ¡Atu ñavi maa un caahán cañi yu yuu tsi ra?; ndacua jandahá ña un ityi nu cuahán ra ñi. ¡A poco no eras tú el que me decía que le aventara piedras a él?; hasta señalabas por dónde iba.,cua jandaha yo,jandaha yo
108,jándává yó,vt,"hacemos brincar, espantamos",Ndihi tsacuaa quitsí tsoco jandavá ti ndivi jana yu. El tlacuache viene a espantar a mis gallinas todas las noches.,cuá jandava yo,jándava yo
109,jandávi ñaahá yó,vt,engañamos,Jandavi ñaaha cuñexu tsi ndicaha. El conejo engañaba al león.,cuá jandávi ñaha yó,jándavi ñaha yo
110,jandóó yó,vt,dejamos,Jandoo ra ñuu ra ta tsaa ra ñuu ihya. El dejó su pueblo y llegó a este pueblo.,cuá jandoo yo,jáandoo yo Sinón nacoó yo
111,jándóyó yó,vt,pesamos,"Jandoyo jihna xahan can najava kilu cuví can. Primero pese esa manteca, para ver cuántos kilos son.",cuá jandoyo yo,jandoyo yo
112,jandúndáa y0,vt,nivelamos,"Ihya cua tsinu intuhun vehe yu ta yacan jandundaá yu ihya. Voy a hacer una casa aquí, por eso estoy nivelando la tierra.",cuá jandúndáa yó,jándundáa yo
113,janduváha yo,vt,"1. curamos, sanamos lin cuayu ta yihí tindacu tsi ti, ta quihin yo ndutya xaan tyihi yo tsi ti, janduvaha yo tsi ti cuví can.","Un caballo tenía gusanos, pero agarramos matagusano y le echamos para curarlo. 2. arreglamos Janduvaha tsi un; quiñi xaan caá jiñi un, tyihi cuca. Arréglate la cabeza, porque está muy fea; péinate.",cuá jandúuváha yo,janduváha yo
114,jányico yo,vt,enfriamos,"Janduhva ñasiihi yu tutya coho yu, tan ihñi xaan tsi, tan janyico jihna ña tsi tsi. Mi esposa coció atole para que yo tomara, pero estaba muy caliente; por eso lo enfrió primero.",cuá janyíco yo,jányíico yo
115,"jáñá yó, xáñá yó",vt,"1. dejamos, no continuamos","Jaña yo tsa cuhva yo nuñi catsi quini ican tatu ña nducahnu maa ti. Vamos a dejar de darle de comer al marrano si no engorda. 2. soltamos Aña ndivi can, ñavi ndivi jana un cuví ti. Suelta a ese pollo porque no es tuyo.",cua jaña yo,jaña yo
116,jáñiñí yó,vt,"obligamos, exigimos",Jañiñí xaan yu tsi ra nyihi na cuhun ra naha scuela. Obligo mucho a los niños que asisten a la escuela.,cua jàfífí yé,jànífí yó
117,jápéhla yo,vt,aflojamos,"Japehla isa cun tyin ñihi xaan nyaá un coto tyahnya yuhva un. Afloja tu telar, no sea que tus hilos se rompan porque te estás recargando muy fuerte.",cua japéhla yo,japéhla yo Sinón jatayá yo
118,jáquitsí yé,vt,"hacemos venir, mandamos",Cuahán yu cua jaha tyiñu yu; jaquitsi maa un ixta catsi yu. Voy a trabajar; me mandas de comer.,cua jáaquitsi yo,jáquitsi yo
119,jásiín yo,vt,"1. nos apartamos, nos quitamos","Ra Cuse tsa jasiin ra tsi ra, ña iyó ca ra tsihin ndi ihya. José ya se apartó de nosotros, ya no vive aquí. 2. separamos, apartamos Vityin cua jasiin yo ndaha tyiñu yo; tsa tsii un ta tsa tsii yu. Ahora separemos nuestras cosas, las tuyas y las mías.",cuá jástin yo,jásiin yo
120,jásiqui yó,vi,jugamos,"Tatu utsan xaan yo, cuvi jasiqui yo juhva ta quita tyeen yo, tacan ta naa tsa jutsan yo. Si tenemos flojera podemos jugar un poco con la pelota; así sudamos y se nos quita la flojera.",cuá jasiqui yo,jásiqui yo
121,jatá yo,vt,compramos,Jata jutu yu iin cuaderno tsi yu. Mi papá me compró un cuaderno.,cua játa yo,játa yo
122,játáca yo,vt,recogemos,"Tsa cuún yuu savi, sií xaan iñi yu jatacá yu tsi. Cuando cae granizo, me gusta mucho recogerlo.",cuá játaca yo,játaca yo
123,játáhan yo,vt,"unimos, juntamos",Vaha ca jatahan yo tucuaa nyihi ihya tsihin tucuaa nahnu. Mejor juntamos estas naranjas chicas con las grandes.,cuá jatahán yo,jatahán yo
124,játáya yo,vt,aflojamos,"Jataya luxu yuhu yutyi ihya tsi yu, tyin ña cuví maa nuña yu can. Aflójame la tapa de esta botella un poco, porque no puedo destaparla.",cuá játaya yo,jataya yo Sinón japehlá yo
125,"játsiyó yó, játsiyó nyáhá yó",vt,"quitamos, ponemos a un lado","Vityin cua quitsi ra cua jatsiyo meridor ñuhu nyaá ihya tyin ña vaha ca can, ta cua tyaa ra inga tsa tsaa. Hoy vendrá el que quitará el medidor de luz que está aquí, porque ya no sirve, y pondrá uno nuevo.",cua játsiyo nyaha yo,játsiyo nyaha yo Véase catsiyó yo
126,játyihyo yó,vt,cocemos,Jatyihyó yo ndivi catsi yo. Cocemos huevos para comer.,cuá játyihyó yo,jatyihyo yo
127,játyinyéé yó,vt,ayudamos,"Cuñí xaan tsi jatyiñu yo nducu yo xuhun tyin jatyinyeé tsi tsi yo. Es  jicá vaha yo  necesario que trabajemos para ganar dinero, porque nos ayuda.",cuá jatyinyee yo,"játyinyee yo Sinón cutahán yo  jatyiñú yo, jahá tyiñu yo (játyiñú yó, jáhá tyiñú yó) vi trabajamos Tsicá ra cuhu jatyiñú ra. El está yendo al monte a trabajar. [cuá jahá tyiñu yo, jahá tyiñu yo]"
127,"játyinyéé yó vt ayudamos Cuñí xaan tsi jatyiñu yo nducu yo xuhun tyin jatyinyeé tsi tsi yo. Es  jicá vaha yo  necesario que trabajemos para ganar dinero, porque nos ayuda. [cuá jatyinyee yo, játyinyee yo] Sinón cutahán yo  jatyiñú yo, jahá tyiñu yo (játyiñú yó, jáhá tyiñú yó)",vi,trabajamos,Tsicá ra cuhu jatyiñú ra. El está yendo al monte a trabajar.,cuá jahá tyiñu yo,jahá tyiñu yo
128,jávácú yó,vt,NA,1. hacemos llorar ¿Nacuvi javacú un tsi ra luhlu can? ¿Por qué haces llorar a ese niño? 2. tocamos (la música) ¿Cuñí un tyasoho un yaa tun javacu yu tocadisco? ¿Quieres oír música si pongo el disco?,cuá javacu yo,javacu yo Véase tsacú yo
129,jáváha yo,vt,hacemos,"Javaha yu luxu ndutya vixi coho yo vityin tyin ihñi xaan vityim. Voy a hacer un poco de agua fresca para beber, porque ahorita hace mucho calor.",cuá javaha yo,javahá yo Sinón jicá yo
130,jávita yo,vt,tiramos,Cua javita yu tsahan ihya. Voy a tirar esta basura.,cuá jávita yo,javita yo
131,jáxiín yó,vt,NA,"quitamos, hacemos a un lado ¿A ña javaha un tumañi iñi jaxiin un indiqui nyaá can?, tyin yaha yu. ¿No me haces el favor de quitar ese toro que está ahí?, porque voy a pasar.",cuá jaxiin yo,jáxiin yo
132,jáyátán yó,vt,"tostamos, doramos",Cuaha xaan tsiti cavee jayatán ña Xiñia. Patrocinia está tostando mucho café.,cua jáyatan yo,jáyatan yo
133,jicá yó,vt,"hacemos —¿Naa jicá xaan un,","Peuru? —Tyayu lihli javahá yu intuhun. ——¿Qué haces, Pedro? —Estoy haciendo una sillita.",cuá jica yo,jica yo Sinón javahá yo
134,jiícá váha yo,vt,"arreglamos, reparamos","Cohon; cua jica vaha yo cora ita yo, tyin ndihi cuii can taní. Vámonos; vamos a reparar la cerca del jardín porque ya está destruyéndose.",cuá jica vahá yo,jica vahá yo
135,jócón yó,vt,"sacamos, cortamos","Icu tsahan ndi tsijocon ndi tucuaa tsihin ra yañi yu, ta vityin cuahán jutu ndi tsihin tucuaa can cua xico ra. Mi hermano y yo fuimos ayer a cortar naranjas, y ahora nuestro padre se fue a venderlas.",cuá jócon yo,jócon yo
136,juhun,vt,NA,NA,tenlo,"tómalo, agárralo"
137,cunyihí tsi,vi,NA,NA,NA,se muele
138,lúndú,ve,NA,NA,está cortado,está amputado (una parte del cuerpo o de la planta) Lundu ndaha cuaha ra tyuvaa vatsí can. Aquél que viene ahí tiene amputada la mano derecha.
139,náá yó,vi,NA,NA,desaparecemos Tatu yuhu ta cuvi yu,cua naa yu
140,naahá adv casi no se,ve,NA,NA,NA,¿Nacuenda naaha xaan tyaá maquina ihya? ¿Por qué casi no se ve lo que escribe esta máquina?
140,naahá adv casi no se ve ¿Nacuenda naaha xaan tyaá maquina ihya? ¿Por qué casi no se,ve,NA,NA,NA,lo que escribe esta máquina?
141,cunaahá,vi,entra la noche iñi naaha adj nublado nducuiñí naaha vi se pone nublado tsiihí naaha yo vi desmayamos naahmá yo (naahmá yo) vt 1. confesamos,"Naahma xaan yo nu ra presidente tatun tsa tsaa cuatyi yo. Si nuestro delito se descubre, confesamos ante el presidente. 2. sufrimos Naahmá xaan yo ñuu ñayivi ihya jahá cuehe. Aquí en el mundo sufrimos mucho con las enfermedades.",cua nahma yo,nahma yo
141,cunaahá vi entra la noche iñi naaha adj nublado nducuiñí naaha,vi,se pone nublado tsiihí naaha yo vi desmayamos naahmá yo (naahmá yo) vt 1. confesamos,"Naahma xaan yo nu ra presidente tatun tsa tsaa cuatyi yo. Si nuestro delito se descubre, confesamos ante el presidente. 2. sufrimos Naahmá xaan yo ñuu ñayivi ihya jahá cuehe. Aquí en el mundo sufrimos mucho con las enfermedades.",cua nahma yo,nahma yo
141,cunaahá vi entra la noche iñi naaha adj nublado nducuiñí naaha vi se pone nublado tsiihí naaha yo,vi,desmayamos naahmá yo (naahmá yo) vt 1. confesamos,"Naahma xaan yo nu ra presidente tatun tsa tsaa cuatyi yo. Si nuestro delito se descubre, confesamos ante el presidente. 2. sufrimos Naahmá xaan yo ñuu ñayivi ihya jahá cuehe. Aquí en el mundo sufrimos mucho con las enfermedades.",cua nahma yo,nahma yo
141,naahmá yo,vt,1. confesamos,"Naahma xaan yo nu ra presidente tatun tsa tsaa cuatyi yo. Si nuestro delito se descubre, confesamos ante el presidente. 2. sufrimos Naahmá xaan yo ñuu ñayivi ihya jahá cuehe. Aquí en el mundo sufrimos mucho con las enfermedades.",cua nahma yo,nahma yo
142,náá íñi yo,vt,olvidamos,"Naa iñi yu tsa cua quitsi ¡in nyivi natuhun tsihin yu tyin cuaha xaan tyiñu tsicá iñi yu. Se me olvidó que una persona iba a llegar a platicar conmigo, porque estaba pensando muchas cosas.",cuá náá iñi yo,náá iñi yo
143,nacáán tsi,vi,NA,NA,NA,se agujera Natyaa nu nacaan pantalon yu. Remienda mis pantalones de donde se agujeraron.
144,nácáhán y0,vt,respondemos,"Tsa caahán rahnu sindicun tsihin nyivi cuaha nu tsicoo junta, nacahan iin ra nyií tyañu nyivi can, caahán tyayu vihi ra nda vaha ñi tsi ra sindicun. Cuando el señor síndico estaba hablando en la junta, un señor que estaba allí respondió hablando mucho y criticando al señor síndico.",cuá nácahán yo,nácáhán yo
145,nacáni yo,vt,desenrollamos,Nacani yo yoho caa icu. Ayer desenrollamos el alambre.,cuá nacani yo,nacani yo
146,nataní tsi,vi,NA,NA,NA,se desenrolla
147,nácánda yo,vi,nos movemos,"Nyehe nyehe ñi un tun ndi nacandá ti; tun ña candá ca ti, tsa tsihi ti cuví can. Te vas fijando si se mueve el animal todavía; y si no se mueve, es que ya está muerto.",cuá nácanda yó,nacanda yo
148,nácátsi y0,vt,escogemos,"Tsahan yu tsijocon yu mangu ta cuaha xaan tsa nyihi yihí, nacatsi yu tsa vaha tsa vaha ñi. Fui a cortar mangos, pero muchos estaban muy chiquitos; solamente escogí los mejores.",cuá nacatsi yó,nácatsi yo
149,nácátsi táhán yó,vi,"1. estamos de acuerdo, concordamos, estamos unidos","Nacatsí tahan vaha xaan jahá tyiñu ra Juaan tsihin ra Ndoñi. Juan y Antonio están bien unidos en su trabajo.  2. nacatsí tahan tsi se amontona, se reune, se junta Na cua jandihi naha yu xuhun ihya, tyin cuñí yu nacatsi tahan can ta cua jata yu ¡in ñuhu tyihyo. No voy a gastar este dinero, porque lo quiero juntar para comprar un solar. (lit: quiero que se junte el dinero)",cuá nácátsi tahan yo,nácátsi tahan yo
150,nácátyá yó,vt,lavamos,Nacatya jahma yu tyin cuhun yu vico cuñí yu. Lava mi ropa porque quiero ir a la fiesta.,cuá nacatyá yó,nácatya yo
151,"nacátyi y0, canacátyi y0",vt,relatamos,Yuhu cua nacatyi yu xembulu cuenda ra cuñexu. Yo voy a relatar el cuento del conejo.,cuá nacatyi yó,nácatyi yo
152,nácóoó yó,vt,NA,dejamos ¿Maa nda nacoo un marali ndahá un nañi? ¿Dónde dejaste la morral que traías hace ratito?,cuá nácoo yo,nácoo yo Sinón jandoó yo
153,nácóoó íhfií yó nacóhñí yó,vt,"abandonamos, dejamos","Ra Ndoñi nacohñi ra ñasiihi ra yuvehe ra, ta cuahán ra nu cañi, ta vityin tsacú xaan ñaha can tyin ña tsitó ña maa nyií ra, ta ndi tutu nduve jaquitsi ra nuu ña. Antonio abandonó a su esposa en su casa y se fue lejos; ahora su esposa llora mucho porque no sabe dónde está él, y ni una carta le manda.",cuá nácoo ihñi yo,nácoo ihñi yo
154,nácuátú yó,vt,"rezamos, oramos",Maa ñi nacuatú yo tsi Nyoo nandihi ñi quivi. Todos los días le rezamos a Dios.,cuá nácuatu yo,nácuatu yo
155,nacúhva yo,vt,"sacudimos, limpiamos, desempolvamos","Icu ñi nacuhva yu mesa ihya, vityin nyico ñi nacuhvá nyico ñi yu. Ayer sacudí esta mesa, y ahora la sacudo otra vez.",cua nacuhva yo,nacuhva yo
156,nácúhví yó,vt,"frotamos, afilamos","Nacuhví yo cutsilu tyin nduxaan tsi, cua cahnya tsi peruu. Afilamos el cuchillo para que esté  filoso y corte una sandía.",cuá nacúhvi yó,nacúhvi yó
157,nácúhvi y0,vi,nos enfermamos,Ndaahvi xaan cuñí yu tyin nacuhví xaan yu. Me siento muy triste porque estoy muy enfermo.,cuá nácuhvi yó,nácuhvi yo
158,nácúhví ndáhá yó,vt,"frotamos, amasamos, masajeamos, sobamos",Nacuhví ndaha yo yutsan pan tyin vaha cua tyihyo tsi. Amasamos la masa de harina para que se cueza bien.,cua nacúhvi ndaha yo,nácúhvi ndaha yo
159,nácuisó yó,vt,"ovillamos, enrollamos (cosas delgadas y no resistentes, como hilo)","Vityin nacuiso xaan yu yuhva tyin cua cunu ñasiihi yu intuhun mandaha. Hoy ovillé mucho hilo, porque mi esposa va a tejer una servilleta.",cuá nácuiso yo,nácuiso yo Sinón tatú yo
160,"nácúvi yo, nácúu yO",vt,hacemos,Nacuú yo tyiñu tsitsi cuhu. Hacemos trabajo en el monte.,cuá cúnacúvi yó,nácúvi yo
161,naha,ve,NA,(naha ve),variante de ve naha ve] ellos,"ellas, los, las, les, se (indica cariño)"
161,naha ve [variante de,ve,NA,NA,naha ve] ellos,"ellas, los, las, les, se (indica cariño)"
162,náhñí yó,vt,pelamos,"Tucuaa ñihi yu, cuatu, tan nahñi yu tan catsi yo. Encontré una naranja; espérate, voy a pelarla y nos la comemos.",cua nahñi yó,náhñi yó
163,"na ítyi tsi, nétyi tsi",vi,se seca,"Tsa nditá jahma vixa nu ihñi jaha yu, tyin na na ityi can. Ya colgué la ropa mojada al sol para que se seque.",cuá ná ityi tsi,"cua nétyi tsi; ná ityi tsi, nétyi tsi"
164,námá yó,vt,"nos envolvemos, nos vestimos (la enagua)",Namá ndi tsehe. Nos envolvemos las enaguas.,cua cúnama yo,nama yo
165,nandica yo 1.,vt,"abrimos, extendemos","Nandica yu libru ihya tyin cuñí yu nyehe yu tsa nyacú nuu can. Abrí este libro porque quería ver lo que tiene. 2. nandicá tsi vi se abre, se extiende Tsa nandica libru. Ya se abrió el libro.",cuá nándicá yo,nándica yo
165,"nandica yo 1. vt abrimos, extendemos Nandica yu libru ihya tyin cuñí yu nyehe yu tsa nyacú nuu can. Abrí este libro porque quería ver lo que tiene. 2. nandicá tsi",vi,"se abre, se extiende",Tsa nandica libru. Ya se abrió el libro.,cuá nándicá yo,nándica yo
166,nándíyí tsí,vi,se encoje,Nyayu ihya nandiyí tsi tsa na ityí tsi. Esta carne se encoje cuando se seca.,cuá nandiyi tsí,nándiyi tsí
