,code(s),citekey,title,gl_author,gl_year,med_type,topic,gl_med_type,gl_language_note,gl_pages_int
,chal11,,Aspects of Chalcatongo Mixtec Tonal Sandhi,"Brugman, Claudia",1986,specific_topic,tone,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",
,pena11,,El alfabeto del Mixteco de Magdalena Peñasco,"Pike, Kenneth L.",1986,specific_topic,ethnographic,wordlist_or_less,San Miguel El Grande Mixtec [mig],3
,chal11,,Morphology and Cliticization in Chalcatongo Mixtec,"Macaulay, Monica Ann",1987,specific_topic,morphosyntax,grammar_sketch,Mixtec San Miguel el Grande [mig],229
,sila11,,Participant tracing and prominence in Silacayoapan Mixtec,"North, Joanne",1987,specific_topic,discourse,wordlist_or_less,Silacayoapan Mixtec [mks],29
,nuyo11~nuxa11~tezo11,,The semantics and morphology of Mixtec mood and aspect,"Marlett, Stephen A. and Bickford, J. Albert",1988,specific_topic,verbs semantics,wordlist_or_less,"Southeastern Nochixtlán Mixtec [mxy], Southwestern Tlaxiaco Mixtec [meh], Tezoatlán Mixtec [mxb]",39
,coat12,leon-pasquel1988noun,Noun and numeral classifiers in Mixtec and Tzotzil: a referential view,"De León Pasquel, Maria de Lourdes",1988,specific_topic,"classifier, comparative",phonology_or_text,"16th cent Mixtec of Guerrero, Coatzoquitengo Mixtec = Mixtec-Alacatlatzala [mim], Tzotzil [tzo]",231
,chal11,,The plural word in Chalcatongo Mixtec,"Macaulay, Monica",1989,specific_topic,plural,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",12
,chal11,,A Summary of Chalcatongo Mixtec Tone in Nominal Compounds,"Meacham, Michael",1990,specific_topic,tone,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",
,chal11,,Negation and Mood in Mixtec: Evidence from Chalcatongo,"Macaulay, Monica",1990,specific_topic,verbs,wordlist_or_less,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",17
,ayut11~ocot11~jica11~peno11~gran11~yoso11~jami11~chal11~diux11~tila11~moli11~sila11~coat11~tezo11~alac11,,Focus in Mixtecan languages,Barbara E. Hollenbach,1991,specific_topic,discourse,wordlist_or_less,"Ayutla Mixtec = Ayutla Mixtec [miy], Copala Trique = Copala Triqui [trc], Yosondúa = Yosondúa Mixtec [mpm], San Miguel el Grande = San Miguel El Grande Mixtec [mig], Diuxi = Diuxi-Tilantongo Mixtec [xtd], Ocotepec = Ocotepec Mixtec [mie], Atatlahuca = Atatláhuca Mixtec [mib], Coatzospan = Coatzospan Mixtec [miz], Jamiltepec = Jamiltepec Mixtec [mxt], Chicahuaxtla Trique = Chicahuaxtla Triqui [trs], Cuicatec Concepción Pápalo = Tepeuxila Cuicatec [cux], Peñoles = Peñoles Mixtec [mil], Alacatzala = Alacatlatzala Mixtec [mim], Chalcatongo = Mixtec-San Miguel el Grande [mig], Molinos = Mixtec-San Miguel el Grande [mig], Silacayoapan = Silacayoapan Mixtec [mks], San Rafael = Mixtec-Metlatónoc [mxv], Jicaltepec",12
,gran11,,"Contrastive paragraph types in a procedural discourse of the Mixtec of San Miguel el Grande, Oax., Mexico","Pike, Evelyn G.",1991,specific_topic,discourse,grammar_sketch,San Miguel El Grande Mixtec [mig],18
,tezo11,,Motion and arrival verbs in Tezoatlán Mixtec and their use in the Gospel of Mark,"Williams, John L.",1991,specific_topic,verbs,phonology_or_text,Mixtec-Tezoatlán [mxb],128
,peno11,,Phonetic Interpretation of Tone Features in Peñoles Mixtec,"Daly, John P.",1992,specific_topic,tone,wordlist_or_less,Peñoles Mixtec [mil],
,alac11,,You can say that again: Repetition in Alacatlatzala Mixtec,"Anderson, Lynn",1993,specific_topic,discourse?,wordlist_or_less,Alacatlatzala Mixtec [mim],16
,chal11,,Argument Status and Constituent Structure in Chalcatongo Mixtec,"Macaulay, Monica",1993,specific_topic,morphosyntax,grammar_sketch,"San Miguel El Grande Mixtec [mig] (computerized assignment from ""chalcatongo"")",13
,peno11,,The role of tone sandhi in tone analysis,"Daly, John P.",1993,specific_topic,tone,wordlist_or_less,Peñoles Mixtec [mil],20
,tezo11,,Four conjunctions in Tezoatlan Mixtec,"Williams, John H.",1993,specific_topic,clause combining,phonology_or_text,Tezoatlán Mixtec [mxb],17
,tezo11,,Fronting of noun and adverb phrases in Mixtec of Tezoatlán,"Williams, Judith",1993,specific_topic,syntax,phonology_or_text,Tezoatlán Mixtec [mxb],27
,general,,El estado actual de los estudios de las lenguas Mixtecanas y Zapotecanas,Thomas C. Smith Stark,1994,specific_topic,comparative,wordlist_or_less,"Tlazoyaltepec Mixtec [mqh], Juxtlahuaca Mixtec [vmc], Tamazola Mixtec [vmx], Soyaltepec Mixtec [vmq], Chigmecatitlán Mixtec [mii], Cuyamecalco Mixtec [xtu], Santa Marla Yolotepec geographically matches Tacahua Mixtec [xtt], Sindihui Mixtec [xts], San Miguel Piedras Mixtec [xtp], Yoloxochitl Mixtec [xty], Chazumba Mixtec [xtb], Apasco-Apoala Mixtec [mip], Tijaltepec Mixtec [xtl], Sinicahua Mixtec [xti], Western Juxtlahuaca Mixtec [jmx], Yutanduchi Mixtec [mab], Santa María Zacatepec Mixtec [mza], Tidaá Mixtec [mtx], Tututepec Mixtec [mtu], Yucuañe Mixtec [mvg], Huitepec Mixtec [mxs], Eastern Highland Chatino [cly], San Agustín Mixtepec Zapotec [ztm], Lapaguía-Guivini Zapotec [ztl], Santa Catarina Albarradas Zapotec [ztn], Southern Rincon Zapotec [zsr], El Alto Zapotec [zpp], Lachiguiri Zapotec [zpa], Zaniza Zapotec [zpw], Asunción Mixtepec Zapotec [zoo], Zaachila Zapotec [ztx], Xadani Zapotec [zax], Santa Inés Yatzechi Zapotec [zpn], Tejalapan Zapotec [ztt], Tabaa Zapotec [zat], Yautepec Zapotec [zpb], Petapa Zapotec [zpe], Mazaltepec Zapotec [zpy]",182
,huaj11,,Nasalization in Huajuapan Mixtec,"Marlett, Stephen A.",1994,specific_topic,phonology,wordlist_or_less,Cacaloxtepec Mixtec [miu],3
,gran11,,"Variant orders of nuclear and marginal clause constituents in Mixtec of San Miguel el Grande, Mexico","Pike, Evelyn G.",1995,specific_topic,discourse,grammar_sketch,San Miguel El Grande Mixtec [mig],13
,nuyo11,,Some features of narrative discourse in Santiago Nuyoo Mixtec,"Harris, Larry R.",1995,specific_topic,discourse,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],17
,coat11,,Topics in the Phonology and Phonetics of Coatzospan Mixtec,"Gerfen, Henry James",1996,specific_topic,phonology,phonology_or_text,Coatzospan Mixtec [miz],531
,gran11,,"Quotation formulas of San Miguel el Grande Mixtec: Their structure, distribution and function","Pike, Evelyn G.",1996,specific_topic,discourse,grammar_sketch,San Miguel El Grande Mixtec [mig],10
,tezo11,,Tezoatlán Mixtec motion and arrival verbs,"Williams, John L.",1996,specific_topic,verbs,wordlist_or_less,"Tezoatlán Mixtec [mxb] (computerized assignment from ""tezoatlan"")",11
,coat11,,Phonology and Phonetics of Coatzospan Mixtec,"Gerfen, Chip",1999,specific_topic,phonology,phonology_or_text,Coatzospan Mixtec [miz],312
,ocot11,,Questions and inversion in Ocotepec Mixtec,"Eberhardt, Roy",1999,specific_topic,morphosyntax,wordlist_or_less,Ocotepec Mixtec [mie],
,pena11,,Los términos de parentesco en el Mixteco de Magdalena Peñasco,"Hollenbach, Bruce and Barbara Hollenbach",2000,specific_topic,kinship,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,pena11,,Los números del Mixteco antiguo: Mixteco de Magdalena Peñasco,"Hollenbach, Bruce and Barbara Hollenbach",2000,specific_topic,numerals,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,pena11,,Los pronombres del Mixteco de Magdalena Peñasco,"Hollenbach, Bruce and Barbara Hollenbach",2000,specific_topic,pronouns,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,coat11,,Nasalized Fricatives in Coatzospan Mixtec,"Gerfen, Chip",2001,specific_topic,phonology,wordlist_or_less,Mixtec (Coatzospan) (autotyp: 2012 miz coat1241) = Coatzospan Mixtec [miz],18
,gran11,,The amplification clause root in San Miguel El Grande Mixtec,"Pike, Evelyn G.",2001,specific_topic,morphosyntax,grammar_sketch,San Miguel El Grande Mixtec [mig],11
southern puebla~Southeastern Nochixtlán~diuxi-tilantongo,amol11~mont13~atat11~ocot11~gran11~chay11~alac11~pino13~caca11~ayut11~coat11~colo11~sila11~yoso11~tezo11~jami11~metl11~alco11~teit11~pena11~,,Los pronombres honoríficos del mixteco: reflejo de la historia social del pueblo mixteco,"Hollenbach, Barbara E.",2003,specific_topic,pronouns,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],8
,gran11~pena11,,The historical source of an irregular Mixtec tone-sandhi pattern,"Hollenbach, Barbara E.",2003,specific_topic,"tone, historical",wordlist_or_less,"Magdalena Peñasco Mixtec [xtm], San Miguel El Grande Mixtec [mig]",18
,mixt11,,A Phonological Sketch of the Yucunany Dialect of Mixtepec Mixtec,"Mary Paster and Beam de Azcona, Rosemary",2004,specific_topic,phonology,phonology_or_text,Mixtepec Mixtec [mix],16
,pena11,,Los tonos del mixteco de Magdalena Peñasco,"Hollenbach, Elena Erickson de",2004,specific_topic,tone,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,amol12,,Paradigma del verbo 'correr' en el mixteco de San Cristóbal Amoltepec,"Hollenbach, Barbara E.",2006,specific_topic,verbs,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,pena11,,Paradigmas de los pronombres enclíticos del mixteco de Magdalena Peñasco,"Hollenbach, Barbara E.",2006,specific_topic,pronouns,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,pena11,,Paradigma del verbo 'correr' en el mixteco de Magdalena Peñasco,"Hollenbach, Barbara E.",2006,specific_topic,verbs,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,pena11,,Tone languages and language (un)awareness,"Hollenbach, Barbara E.",2007,specific_topic,tone,wordlist_or_less,"Magdalena Peñasco Mixtec [xtm], Copala Triqui [trc]",3
"many, need to be taken from the doc itself",pena11~ADD,,Difrasismos mixtecos: del siglo XVI al siglo XXI,"Hollenbach, Barbara E.",2007,specific_topic,phrase structure,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],17
,peno11,,On the Representation of Tone in Peñoles Mixtec,"Daly, John P. and Hyman, Larry M.",2007,specific_topic,tone,wordlist_or_less,Peñoles Mixtec [peno1244],43
,yolo11,,"Análisis morfosintáctico de la estructura oracional del Mixteco de Yoloxóchitl, Guerrero","Guadalupe Joaquina, Amadeo",2007,specific_topic,discourse,grammar_sketch,Yoloxochitl Mixtec [xty],184
,yolo11,,"Descripción fonológica segmental y tonal del Mixteco de Yoloxóchitl, Guerrero","García, Rey Castillo",2007,specific_topic,phonology,phonology_or_text,Yoloxochitl Mixtec [xty],181
,tezo11,,Grammatical encoding of participants in Mixtec of Tezoatlán,"Williams, Judith",2008,specific_topic,morphosyntax,wordlist_or_less,Tezoatlán Mixtec [mxb],
,tezo11,,The fronting of noun and adverb phrases in Mixtec of Tezoatlán,"Williams, Judith",2008,specific_topic,clause structure,phonology_or_text,Tezoatlán Mixtec [mxb],29
,ixpa11,,Narrative strategies in Ixpantepec-Nieves Mixtec,"Bowen, Michael Andrew Villas Boas",2010,specific_topic,discourse,phonology_or_text,Ixpantepex-Nieves = Silacayoapan [mks],117
,,,El valor del bilingüismo y prácticas lingüísticas en una comunidad ñuu savi en Oaxaca,"Rojas Santos, Herminia",2011,specific_topic,ethnographic,wordlist_or_less,Meson de Guadalupe = San Juan Mixtepec = Mixtec-Mixtepec [mix],196
,diqu11,,La descripción fonológica de la lengua Mixteca de San Juan Dikiyú y sus implicaciones para la escritura,"Santos Reyes, Jovito",2011,specific_topic,phonology,phonology_or_text,Mixtec San Jan Dikiyú = Mixtec San Juan Diquiyú = Mixtec-Tezoatlán [mxb],
,jica12,,"Las cláusulas de complemento en el tu'un²³ sa²bi³ de San Pedro Jicayán, Oaxaca","García Mejía, Griselda",2012,specific_topic,clause combining,grammar_sketch,Mixtec San Pedro Jicayan = Mixtec-Pinotepa Nacional [mio],253
,mixt11,,El parangón en San Juan Mixtepec,"Nieves, Millie",2012,specific_topic,?,phonology_or_text,Mixtepec Mixtec [mix],18
,jica11,,Aspect and mood in Jicaltepec Mixtec,Rachael A. Costello,2014,specific_topic,verbs,grammar_sketch,Pinotepa Nacional Mixtec [mio],171
,heun11,,"Un estudio fonológico del mixteco de Santo Domingo Huendio, Oaxaca","Becerra Roldán, Braulio",2015,specific_topic,phonology,phonology_or_text,Mixteco de Santo Domingo Huendio = Mixtec-Magdalena Peñasco [xtm],144
,tutu11,,Los datos del mixteco de Tututepec en Belmar (1902),J. Ryan Sullivant,2015,specific_topic,historical,wordlist_or_less,Tututepec = Mixtec-Tututepec [mtu],13
,yucu16,,"Sandhi tonal en el mixteco de Yucuquimi de Ocampo, Oaxaca","Vázquez, Octavio León",2017,specific_topic,tone,phonology_or_text,Mixteco de Yucuquimi de Ocampo = Mixtec-Tezoatlán [mxb],171
,,,Una leyenda mixteca,"Pike, Kenneth L.",1937,text,,wordlist_or_less,San Miguel El Grande Mixtec [mig],9
,,,"Bei den Azteken, Mixteken und Tlapaneken der Sierra Madre del Sur von Mexiko","Schultze Jena, Leonhard",1938,text,,grammar_sketch,Cahuatachi-Guerrero Mixtec = Mixtec-Alacatlatzala [mim],384
,,,Analysis of a Mixteco text,"Pike, Kenneth L.",1944,text,,phonology_or_text,San Miguel El Grande Mixtec [mig],26
,,,"Cuento mixteco de un conejo, un coyote y la luna","Pike, Kenneth L.",1948,text,,wordlist_or_less,San Miguel El Grande Mixtec [mig],2
,,,"Uni cuentu lejo (Tres cuentos del conejo). Instituto Lingüístico de Verano, México","Mak, Cornelia and Ruth Mary Alexander",1954,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",11
,,,Mixteco texts,"Dyk, Anne and Voigtlander, Katherine and Elson, Benjamin Franklin",1959,text,,phonology_or_text,Silacayoapan Mixtec [mks],254
,,,Mixteco texts,"Dyk, Anne",1959,text,,wordlist_or_less,San Miguel El Grande Mixtec [mig],248
,,,"Pláticas en mixteco, español, e ingles","Lorenzo Jordán and Garcia Alvarado, Raul",1968,text,,wordlist_or_less,Santiago Apoala = Apasco-Apoala Mixtec [mip],32
,,,The poor man and the buzzard,"Daly, John P.",1969,text,,wordlist_or_less,Peñoles Mixtec [mil],8
,,,Stories of a Mixteco town,"Alexander, Ruth Mary and Avendaño J., Lucio",1970,text,,wordlist_or_less,Ocotepec Mixtec [mie],7
,,,Ihya minoo cuhva chahi chi ndo vityi saha ndo cuenda chi ndo chihin cuehe (Un modo de cuidarse en caso de enfermedad),Instituto Lingüístico de Verano,1972,text,,wordlist_or_less,Jamiltepec Mixtec [mxt],12
,,,"Cuento conejo tsi nculi (Cuento del conejo, libros 1, 2, 3)",,1973,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",24
,,,"Cuento ndivahyi xihin burro xihin conejo (El coyote, el burro, y el conejo)","Martínez R., Lorenzo",1973,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",25
,,,Cuentu ñaña xh conejo (Cuento del coyote y el conejo),Instituto Lingüístico de Verano,1973,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",22
,,,Primer stories for the San Juan Mixtepec Mixtec,"Johnson, Audrey",1974,text,,wordlist_or_less,Mixtepec Mixtec [mix],2
,,,Tutu cáhan saha laa yúcu (Libro de aves silvestres),"Ramírez A., Fidencio",1974,text,,wordlist_or_less,"Atatláhuca Mixtec [mib] (computerized assignment from ""cahan"")",
,,,Cuento >i cha cuichi (Cuentos del conejo),"Quintas Ch., Salomón",1978,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",11
,,,Cuento lejo jiin mono ñuma (El conejo y el hombre de cera),Instituto Lingüístico de Verano,1978,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",12
,,,Cuento lejo jiin tivahvo jaa nchaji chiquin (El conejo y el coyote que se comió una tuna),Instituto Lingüístico de Verano,1978,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",6
,,,"Cuento lejo jiin tivahvo jiin chihin (El conejo, el coyote y el zorrillo)",Instituto Lingüístico de Verano,1978,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",6
,,,"Cuento tivahvo jiin ticachi luli jiin Cuento lejo jiin tivahvo jiin cava (El coyote y el corderito y El conejo, el coyote y el risco)",Instituto Lingüístico de Verano,1978,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",7
,,,"Cuento iso jin vahvu jiin yoo (El conejo, el coyote y la luna)","Sandoval R., Demetria",1979,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",4
,,,Frog and deer story; Orange tree story; Rabbit and coyote story: Coatzan Mixtec,"Small, Priscilla C.",1979,text,,wordlist_or_less,Coatzospan Mixtec [miz],33
,,,Tuhun nsa sáhá ndá vehe (Cómo construir una casa),Instituto Lingüístico de Verano,1979,text,,wordlist_or_less,Ocotepec Mixtec [mie],4
,,,Yiso tá=an ñocuii (El cuento del conejo y el zorro),Instituto Lingüístico de Verano,1979,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",4
,diux11~tila11,,Relatos sobre la vida en Diuxi,Instituto Lingüístico de Verano,1980,text,,wordlist_or_less,"Diuxi-Tilantongo Mixtec [xtd] (computerized assignment from ""diuxi"")",18
,sila11,,Que sucedió a los que fueron a Culiacán - Já nandoho ñayivi tá nasahan na Culiacán,"North, Joanne and Jäna Shields, eds.",1980,text,,wordlist_or_less,"Silacayoapan Mixtec [mks] (computerized assignment from ""silacayoapan"")",11
,,,Xcuent to conejü no to nyo (El cuento del conejo y el coyote),Instituto Lingüístico de Verano,1980,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",16
,,,"Tyisu cuñexu qu-,it-,i chahnyá tuyaha (Cuento del conejo que cortaba las matas de chile)","Hernández H., Donaciano",1981,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",11
,,,"Tyisu nd-,icaha ta cuñexu (El cuento del león y el conejo)","Hernández H., Donaciano",1981,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",24
,,,Xembulu cuenda ra ndicaha tsihin ra cuñezu (El cuento del león y el conejo),"García Mejía, Julian, narrador",1983,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",18
,,,A sociolinguistic analysis of a Mixtec text comparing oral and written versions,"Daly, Margaret H.",1984,text,,phonology_or_text,Peñoles Mixtec [mil],22
,,,Leco xi'in Diva'yu (Cuentos del Conejo y el Coyote 1),No Author Stated,1984,text,,phonology_or_text,Metlatónoc Mixtec [mxv],
,,,Leco xi=in diva=yu[;] leco xi=in yuvi lo=o[;] Cuentos del conejo y el coyote 1[;] El coyote y el muñequito de cera,"Hillman Whitehurst, Jorge and Valerie Friesen de Hillman, asesores lingüísticos; Gervacio de Jesús Flores, narrador",1984,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",9
,,,"Xembulu cuenda tyandoo ta pele tsihin nu cuñexu ta ndicaha (El cuento de la tortuga, el zopilote, el conejo y el león)","García Alavez, Daniel Fidencio, narrador",1984,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""conejo"")",42
,,,"Tuti noo kaa naa nta=vi[;] mi libro mixteco: primer grado, Huajuapan de León, Oaxaca","López Vivar, Luis R.",1985,text,,wordlist_or_less,"Cacaloxtepec Mixtec [miu] (computerized assignment from ""huajuapan"")",89
,,,Xiin belos[;] Hijo de feroz,"Riggs M., David and Sylvia Ossen de Riggs, asesoría lingüística; Pedro Martínez J., autor",1986,text,,wordlist_or_less,"Metlatónoc Mixtec [mxv] (computerized assignment from ""xiin"")",
,,,Ndicuii ndicuihina xihin tiñihi ndicuihina[;] El zorro bandido y el zorrillo ladrón,"Williams H., Juan and Judith Ferguson de Williams, producción; Sebastián Ojeda V., narrador",1988,text,,wordlist_or_less,"Tezoatlán Mixtec [mxb] (computerized assignment from ""zorrillo"")",14
,,,¿Naikuu ja ta'an chi'in?,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],16
,,,Tu'un chidaa nikindoo nda'vi,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],16
,,,Tu'un choto xeva'a ve'e,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],16
,,,Tu'un chuun kuixin,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un ido ti nduku nuu mediu,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],8
,,,Tu'un koo ndi'i ido,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],24
,,,Tu'un ñaña duxen,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],11
,,,Tu'un soli ndi'i chikaka,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],12
,,,Tu'un tee xika yúkú ido,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],16
,,,Tu'un tita ndi'i linko,,1997,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],16
,,,Analysis of a Mixtec hortatory text: a nonlinear approach in Southeastern Nochixtlán Mixtec,"Hugghins, Susan J.",1998,text,,phonology_or_text,Southeastern Nochixtlán Mixtec [mxy],14
,,,La canción del gato (Mixteco de San Agustíín Tlacotepec),"Hollenbach, Bruce and Barbara Hollenbach",2000,text,,wordlist_or_less,"Magdalena Peñasco Mixtec [xtm] (computerized assignment from ""tlacotepec"")",
,,,Tres cuentos de las bandoleras,"Hollenbach F., Fernando and Elena Erickson de Hollenbach, editors",2000,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,Sakua'a yó ka'vi yó ñii ta̱nda̱ o̱ko,,2001,text,,wordlist_or_less,Alacatlatzala Mixtec [mim],
,,,The Lord's prayer from the 1567 Hernández catechism,"Hollenbach, Barbara E.",2001,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,Tu'un chidaa nikindoo nda'vi,,2002,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Chidaa ti yichi ndute,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ido nduku tu'un,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ja niya'a ñaña,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Na ka'i nda'i yo: tuti kúú iño̱,,2003,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Na ka'i nda'i yo: tuti kúú komi̱,,2003,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Na ka'i nda'i yo: tuti kúú o'o̱n,,2003,text,,wordlist_or_less,Tezoatlán Mixtec [mxb],
,,,Nadakua'a ndo kuenda tu'un kani,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Nadakua'a ndo tu'un ja nkuiin tachi ndo,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un choto ti axee diki xi,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un choto ti nikoo viko,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un ñaña ndi'i chi'in,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un pia ti nita'vi nduu,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Tu'un vi'nde xikuii,,2003,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ɨn ñukwi chi'in ɨn kyoo,,2004,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Ko̱to̱ e̱' ña̱ yoso̱' siin' (Viendo las diferencias en las cosas: libro de prelectoescritura),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Kúvi káˀvi-ó,,2004,text,,wordlist_or_less,Southwestern Tlaxiaco Mixtec [meh],
,,,Kwento xaˀa̱ˀ i̱i̱n ndu̱xiˀ yaˀa (La gallina colorada),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Kwento xaˀa̱ˀ i̱so xiinˀ xaˀa̱ˀ vi̱koˀ (El conejo y la fiesta),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,"Kwento xaˀa̱ˀ Lorenso xiinˀ ko̱chiˀ xiinˀ mburu xiinˀ toro (Lorenzo, el caimán, el burro y el toro)",,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Kwento xaˀa̱ˀ naya̱ˀ i̱kuˀ xiinˀ i̱so̱ (El perro salvaje el conejo),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Kwento xaˀa̱ˀ ndi̱ka̱ˀa̱ xiinˀ ya̱kwinˀ (El tigre y el armadillo),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
,,,Kwentu kyoko chi'in tigri,,2004,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,Kwentu xi'ñna chi'in Ñayɨvɨ,,2004,text,,wordlist_or_less,Amoltepec Mixtec [mbz],
,,,La canción del gato: mixteco de San Agustin Tlacotepec (The cats song of San Agustín Tlacotepec Mixtec),"Aguilar Sánchez, Genara and Hollenbach, Bruce E. and Hollenbach, Barbara E.",2004,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,Ña̱ sasiki̱ˀ xiinˀ letra kwenta diccionario nya̱nya̱,,2004,text,,phonology_or_text,Ayutla Mixtec [miy],
,,,Nadakua'a ndo kuenda y,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu ii̱n,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu iñu,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu u'un,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu una,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu usa,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Naka'vi ndo tu'un davi tutu kuu uu,,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,"Naka'vi ndo tu'un davi, tutu kuu kuun",,2004,text,,wordlist_or_less,Southeastern Nochixtlán Mixtec [mxy],
,,,Ndanduku vilu ma (Busca al gato; Mixteco de Magdalena Peñasco),,2004,text,,wordlist_or_less,Magdalena Peñasco Mixtec [xtm],
,,,Sa̱̱a̱ ke'i e̱̱' kivi̱' numero tu̱n savi̱' tu̱tyoo̱̱' (Cómo escribimos los nombres de los números en el mixteco de Ayutla),,2004,text,,wordlist_or_less,Ayutla Mixtec [miy],
