ID	Village_Name	Village_Name_Alternative	Family	Subgroup	Municipality	State	Latitude	Longitude	ISO639P3code	Glottocode	Glottolog_Name	Glottolog_Level	Glottolog_Super	Glottolog_Subgroup	Glottolog_Latitude	Glottolog_Longitude	josserand_group	Josserand_Subgroup	Josserand_Code	Inali_Subgroup	Inali_Endonym_Ort	Inali_Endonym_Ipa	Egland_Name	Egland_Perc	Egland_Level	Egland_Super	Mtree_Name	Mtree_Code	Mtree_Codealt	Mtree_Latitude	Mtree_Longitude	Mtree_Comments	Coordinate_Comparison	CLDF_Name	Village_Name_Normalized	Comments
yuta11	Yutanduchi de Guerrero		Mixtec	Eastern Alta	Yutanduchi de Guerrero	Oaxaca	17.0311	-97.2293	mab	yuta1240	Yutanduchi Mixtec	language		Eastern Alta	17.0311	-97.2293	Eastern Alta	Teozacoalco	yutn	mixteco de Yutanduchi de Guerrero	tu’un savi	[tũʔũ saβi]												YutanduchiGuerreroMixtec	yutanduchi de guerrero	
yuta12	San Juan Yuta		Mixtec	Eastern Alta	San Juan Tamazola	Oaxaca	17.02228	-97.17054									Eastern Alta	Teozacoalco	yuta	mixteco de San Juan Tamazola	tnu’un davi	[tnũʔũ ðaβi]												SanJuanYutaMixtec	san juan yuta	
yuta13	San Andrés Yutatío		Mixtec	Tezoatlan	Tezoatlán de Segura y Luna	Oaxaca	17.60626	-97.89428												mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												SanAndresYutatioMixtec	san andres yutatio	
zaca11	Santa María Zacatepec		Mixtec	Coast	Santa María Zacatepec	Oaxaca	16.7003	-97.9484	mza	sant1436	Santa María Zacatepec Mixtec	language		Coast (West)	16.7003	-97.9484	Coast	West	zac	mixteco de Sierra sur oeste	tu’un va’a	[tũʔũ vaʔa]	Zacatepec	64	language									SantaMariaZacatepecMixtec	santa maria zacatepec	
zahu11	San Simón Zahuatlán		Mixtec	Central Baja	San Simón Zahuatlán	Oaxaca	17.8291	-98.00505		sans1274	San Simón Zahuatlán	dialect	sila1250	Central Baja Mixtec			Central Baja			mixteco del noroeste	tu’un savi	[tũʔũ saβi]	S. Simo?n Zahuatla?n	81	dialect	Silacayoapan								SanSimonZahuatlanMixtec	san simon zahuatlan	
zapo11	Zapotitlán Palmas		Mixtec	Northern Baja	Zapotitlán Palmas	Oaxaca	17.88959	-97.82406									Northern Baja		zap	mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												ZapotitlanPalmasMixtec	zapotitlan palmas	
	Abasolo				Chalcatongo de Hidalgo	Oaxaca														mixteco del sur bajo	sahin sau	[sahin sau]												Abasolo	abasolo	
	Acalmani				Igualapa	Guerrero														mixteco de Igualapa	tu’un Isasi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ saβi]												Acalmani	acalmani	
	Acametla de Bravo				Alcozáuca de Guerrero	Guerrero														mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												AcametlaBravo	acametla de bravo	
	Acaquizapam (Santa María Acaquizapam)				Santiago Chazumba	Oaxaca														mixteco de la frontera Puebla-Oaxaca	da’an davi	[ðãʔã ðaβi]												AcaquizapamSantaMariaAcaquizapam	acaquizapam (santa maria acaquizapam)	
	Acatepec				Ometepec	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												Acatepec	acatepec	
	Acatlán de Osorio				Acatlán	Puebla														mixteco del suroeste de Puebla	da’an davi ~ de’e dau	[ðãʔã ðaβi] ~ [ðeʔe ðau]												AcatlanOsorio	acatlan de osorio	
	Acatlán I (Fovissste)				Acatlán	Puebla														mixteco del suroeste de Puebla	da’an davi ~ de’e dau	[ðãʔã ðaβi] ~ [ðeʔe ðau]												AcatlanIFovissste	acatlan i (fovissste)	
	Acatlima				Heroica Ciudad de Huajuapan de León	Oaxaca														mixteco del noroeste medio	dedavi ~ tu’un savi	[dedaβi] ~ [tũʔũ saβi]												Acatlima	acatlima	
	Acuautepec o Agua de la Caña				Santiago Pinotepa Nacional	Oaxaca														mixteco del oeste de la costa	tu’un savi	[tũʔũ saβi]												AcuautepecoAgualaCana	acuautepec o agua de la cana	
	Agua Buena				San Sebastián Tecomaxtlahuaca	Oaxaca														mixteco del oeste	to’on savi	[tõʔõ saβi]												AguaBuena	agua buena	
	Agua Buena				San Miguel Tlacotepec	Oaxaca														mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												AguaBuena	agua buena	
	Agua Ceniza				San Miguel Santa Flor	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaCeniza	agua ceniza	
	Agua de Humo				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AguaHumo	agua de humo	
	Agua de la Caja				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AgualaCaja	agua de la caja	
	Agua de la Gallina				Santa Cruz Nundaco	Oaxaca														mixteco del suroeste central	tu’un savi	[tũʔũ saβi]												AgualaGallina	agua de la gallina	
	Agua de Platanar				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AguaPlatanar	agua de platanar	
	Agua del Perro				Santa Lucía Monteverde	Oaxaca														mixteco de Santa Lucía Monteverde	sasau	[sasau]												AguaPerro	agua del perro	
	Agua del Tejocote				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AguaTejocote	agua del tejocote	
	Agua del Toro				Santa Lucía Monteverde	Oaxaca														mixteco de Santa Lucía Monteverde	sasau	[sasau]												AguaToro	agua del toro	
	Agua Dulce				Heroica Ciudad de Huajuapan de León	Oaxaca														mixteco del noroeste medio	dedavi ~ tu’un savi	[dedaβi] ~ [tũʔũ saβi]												AguaDulce	agua dulce	
	Agua Dulce				San Pedro Jicayán	Oaxaca														mixteco de Oaxaca de la costa central	tu’un savi	[tũʔũ saβi]												AguaDulce	agua dulce	
	Agua Dulce				Santiago Pinotepa Nacional	Oaxaca														mixteco del oeste de la costa	tu’un savi	[tũʔũ saβi]												AguaDulce	agua dulce	
	Agua Escondida				San Juan Bautista Tlachichilco	Oaxaca														mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												AguaEscondida	agua escondida	
	Agua Escondida Guerrero				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AguaEscondidaGuerrero	agua escondida guerrero	
	Agua Espina				Chiquihuitlán de Benito Juárez	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaEspina	agua espina	
	Agua Fría				Santiago Juxtlahuaca	Oaxaca														mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												AguaFria	agua fria	
	Agua Fría				Santiago Tlazoyaltepec	Oaxaca														mixteco bajo de Valles	tu’un dau	[tũʔũ ðau]												AguaFria	agua fria	
	Agua Fría				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												AguaFria	agua fria	
	Agua Fría				San Juan Colorado	Oaxaca														mixteco de Oaxaca de la costa noroeste	tu’un savi	[tũʔũ saβi]												AguaFria	agua fria	
	Agua Fría Copala				Santiago Juxtlahuaca	Oaxaca														mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												AguaFriaCopala	agua fria copala	
	Agua Iglesia				Santa Ana Cuauhtémoc	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaIglesia	agua iglesia	
	Agua la Avispa				San Antonio Huitepec	Oaxaca														mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]												AgualaAvispa	agua la avispa	
	Agua Negra				San Miguel Chicahua	Oaxaca														mixteco del noreste	da’an davi	[ðãʔã ðaβi]												AguaNegra	agua negra	
	Agua Tabaco				Cuyamecalco Villa de Zaragoza	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaTabaco	agua tabaco	
	Agua Tecolote				Zapotitlán	Puebla														mixteco de Zapotitlán	da’an davi	[ðãʔã ðaβi]												AguaTecolote	agua tecolote	
	Agua Tendida				Chiquihuitlán de Benito Juárez	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaTendida	agua tendida	
	Agua Toro				Santa Ana Cuauhtémoc	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaToro	agua toro	
	Agua Trapo				Chiquihuitlán de Benito Juárez	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												AguaTrapo	agua trapo	
	Agua Zarca (Barrio de Agua Zarca)				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												AguaZarcaBarrioAguaZarca	agua zarca (barrio de agua zarca)	
	Agua Zarca (San Miguel Agua Zarca)				Villa de Tututepec de Melchor Ocampo	Oaxaca														mixteco de Villa de Tututepec	tu’un savi	[tũʔũ saβi]												AguaZarcaSanMiguelAguaZarca	agua zarca (san miguel agua zarca)	
	Aguacatal				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												Aguacatal	aguacatal	
	Aguacate				Cuyamecalco Villa de Zaragoza	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												Aguacate	aguacate	
	Aguacate				Santa Ana Cuauhtémoc	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												Aguacate	aguacate	
	Aguacatillo (Rancho Maximino Muñoz)				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												AguacatilloRanchoMaximinoMunoz	aguacatillo (rancho maximino munoz)	
	Agustín Melgar				Santa Cruz Xoxocotlán	Oaxaca														mixteco bajo de Valles	tu’un dau	[tũʔũ ðau]												AgustinMelgar	agustin melgar	
	Ahuacachahue (Ndog ’Yo Itun Tichi)				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												AhuacachahueNdog'YoItunTichi	ahuacachahue (ndog 'yo itun tichi)	
	Ahuacojtitla				Copanatoyac	Guerrero														mixteco de Coapanatoyac	tno’on sawi ~ tu’un savi	[tnõʔõ sawi] ~ [tũʔũ saβi]												Ahuacojtitla	ahuacojtitla	
	Ahuajutia (Ahuejutla)				San Martín Peras	Oaxaca														mixteco del oeste	to’on savi	[tõʔõ saβi]												AhuajutiaAhuejutla	ahuajutia (ahuejutla)	
	Ahuastepec				Copanatoyac	Guerrero														mixteco de Coapanatoyac	tno’on sawi ~ tu’un savi	[tnõʔõ sawi] ~ [tũʔũ saβi]												Ahuastepec	ahuastepec	
	Ahuatepec Ejido				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												AhuatepecEjido	ahuatepec ejido	
	Ahuatepec Pueblo				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												AhuatepecPueblo	ahuatepec pueblo	
	Ahuejutla				Alcozáuca de Guerrero	Guerrero														mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												Ahuejutla	ahuejutla	
	Ahuexutla				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												Ahuexutla	ahuexutla	
	Ahuezutla				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												Ahuezutla	ahuezutla	
	Alacrán				Santiago Yosondúa	Oaxaca														mixteco de Yosondúa	sa’an sau	[sãʔã sau]												Alacran	alacran	
	Alberto Baños Torres				Santiago Pinotepa Nacional	Oaxaca														mixteco del oeste de la costa	tu’un savi	[tũʔũ saβi]												AlbertoBanosTorres	alberto banos torres	
	Aldama				Chalcatongo de Hidalgo	Oaxaca														mixteco del sur bajo	sahin sau	[sahin sau]												Aldama	aldama	
	Allende				Chalcatongo de Hidalgo	Oaxaca														mixteco del sur bajo	sahin sau	[sahin sau]												Allende	allende	
	Almolonga de Ocampo (Almolonga)				Alcozáuca de Guerrero	Guerrero														mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												AlmolongaOcampoAlmolonga	almolonga de ocampo (almolonga)	
	Alpoyeca				Alpoyeca	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Alpoyeca	alpoyeca	
	Alpoyecancingo				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Alpoyecancingo	alpoyecancingo	
	Altamira				Alcozáuca de Guerrero	Guerrero														mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												Altamira	altamira	
	Alto de Mango				Mesones Hidalgo	Oaxaca														mixteco de Sierra sur noroeste	tu’un savi	[tũʔũ saβi]												AltoMango	alto de mango	
	Alto de Ventura				San Marcos	Guerrero														mixteco de Guerrero de la costa occidental	tu’un savi	[tũʔũ saβi]												AltoVentura	alto de ventura	
	Álvaro Obregón				Atlamajalcingo del Monte	Guerrero														mixteco de Atlamajalcingo	tu’un savi	[tũʔũ saβi]												AlvaroObregon	alvaro obregon	
	Amapilca				Alcozáuca de Guerrero	Guerrero														mixteco de Guerrero del noreste central	tu’un savi	[tũʔũ saβi]												Amapilca	amapilca	
	Amate Amarillo				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												AmateAmarillo	amate amarillo	
	Amatitlán				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Amatitlan	amatitlan	
	Amatitlán (San Martín Amatitlán)				Xalpatláhuac	Guerrero														mixteco de Guerrero del norte central	jnu’un sábi̠	[hnũʔũ sa˦βi˨]												AmatitlanSanMartinAmatitlan	amatitlan (san martin amatitlan)	
	Amatitlán de Azueta				Acatlán	Puebla														mixteco del suroeste de Puebla	da’an davi ~ de’e dau	[ðãʔã ðaβi] ~ [ðeʔe ðau]												AmatitlanAzueta	amatitlan de azueta	
	Ampliación Vicente Guerrero				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												AmpliacionVicenteGuerrero	ampliacion vicente guerrero	
	Anáhuac				San Marcos	Guerrero														mixteco de Guerrero de la costa occidental	tu’un savi	[tũʔũ saβi]												Anahuac	anahuac	
	Anonal Guerrero				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												AnonalGuerrero	anonal guerrero	
	Antiguo Barrio San Isidro				San Miguel Chicahua	Oaxaca														mixteco del noreste	da’an davi	[ðãʔã ðaβi]												AntiguoBarrioSanIsidro	antiguo barrio san isidro	
	Aquiles Serdán				Santa María Zacatepec	Oaxaca														mixteco de Sierra sur oeste	tu’un va’a	[tũʔũ vaʔa]												AquilesSerdan	aquiles serdan	
	Aquilpa				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Aquilpa	aquilpa	
	Arcelia del Progreso				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												ArceliaProgreso	arcelia del progreso	
	Arenal Centro				San Juan Mixtepec	Oaxaca														mixteco de oeste central	sa'an ntavi	[sãʔã ndaβi]												ArenalCentro	arenal centro	
	Aristeo Hernández Borneos				Santiago Pinotepa Nacional	Oaxaca														mixteco del oeste de la costa	tu’un savi	[tũʔũ saβi]												AristeoHernandezBorneos	aristeo hernandez borneos	
	Arrazola (San Antonio Arrazola)				Santa Cruz Xoxocotlán	Oaxaca														mixteco bajo de Valles	tu’un dau	[tũʔũ ðau]												ArrazolaSanAntonioArrazola	arrazola (san antonio arrazola)	
	Arriba de Alazán				Santa María Yucuhiti	Oaxaca														mixteco del suroeste	tu’un savi	[tũʔũ saβi]												ArribaAlazan	arriba de alazan	
	Arriba de la Ciénega Rica				San Antonio Huitepec	Oaxaca														mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]												ArribalaCienegaRica	arriba de la cienega rica	
	Arriba de la Peña				Santiago Apoala	Oaxaca														mixteco del noreste	da’an davi	[ðãʔã ðaβi]												ArribalaPena	arriba de la pena	
	Arriba la Peña				San Antonio Huitepec	Oaxaca														mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]												ArribalaPena	arriba la pena	
	Arroyo Barranca Honda				Ometepec	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												ArroyoBarrancaHonda	arroyo barranca honda	
	Arroyo Chimalapa				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												ArroyoChimalapa	arroyo chimalapa	
	Arroyo Chimalapa				Tlacoachistlahuaca	Guerrero														mixteco de Tlacoachistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoChimalapa	arroyo chimalapa	
	Arroyo Cola de Cuije				Xochistlahuaca	Guerrero														mixteco de Xochistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoColaCuije	arroyo cola de cuije	
	Arroyo Cumiapa				San Luis Acatlán	Guerrero														mixteco de San Luis Acatlán	tu’un savi	[tũʔũ saβi]												ArroyoCumiapa	arroyo cumiapa	
	Arroyo de Ceniza (Loma del Palmar)				Santo Domingo Nuxaá	Oaxaca														mixteco del este	tu’un davi	[tũʔũ ðaβi]												ArroyoCenizaLomaPalmar	arroyo de ceniza (loma del palmar)	
	Arroyo de Estaca				San Juan Tamazola	Oaxaca														mixteco de San Juan Tamazola	tnu’un davi	[tnũʔũ ðaβi]												ArroyoEstaca	arroyo de estaca	
	Arroyo de Faisán				San Luis Acatlán	Guerrero														mixteco de San Luis Acatlán	tu’un savi	[tũʔũ saβi]												ArroyoFaisan	arroyo de faisan	
	Arroyo del Desbarrancadero				Tlacoachistlahuaca	Guerrero														mixteco de Tlacoachistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoDesbarrancadero	arroyo del desbarrancadero	
	Arroyo del Pote (Yutandiutu)				Pinotepa de Don Luis	Oaxaca														mixteco de Oaxaca de la costa oeste central	tu’un savi ~ se’en savi	[tũʔũ saβi] ~ [seʔen saβi]												ArroyoPoteYutandiutu	arroyo del pote (yutandiutu)	
	Arroyo del Sabino				San Juan Mixtepec	Oaxaca														mixteco de oeste central	sa'an ntavi	[sãʔã ndaβi]												ArroyoSabino	arroyo del sabino	
	Arroyo del Zapote				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												ArroyoZapote	arroyo del zapote	
	Arroyo Faisán				Tlacoachistlahuaca	Guerrero														mixteco de Tlacoachistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoFaisan	arroyo faisan	
	Arroyo Grande				San Marcos	Guerrero														mixteco de Guerrero de la costa occidental	tu’un savi	[tũʔũ saβi]												ArroyoGrande	arroyo grande	
	Arroyo Limón (Arroyo Lima)				San Luis Acatlán	Guerrero														mixteco de San Luis Acatlán	tu’un savi	[tũʔũ saβi]												ArroyoLimonArroyoLima	arroyo limon (arroyo lima)	
	Arroyo Limón Norte				Xochistlahuaca	Guerrero														mixteco de Xochistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoLimonNorte	arroyo limon norte	
	Arroyo Mixtecolapa (Mixtecolapa)				San Luis Acatlán	Guerrero														mixteco de San Luis Acatlán	tu’un savi	[tũʔũ saβi]												ArroyoMixtecolapaMixtecolapa	arroyo mixtecolapa (mixtecolapa)	
	Arroyo Ocotlán				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												ArroyoOcotlan	arroyo ocotlan	
	Arroyo Ojo de Venado				San Luis Acatlán	Guerrero														mixteco de San Luis Acatlán	tu’un savi	[tũʔũ saβi]												ArroyoOjoVenado	arroyo ojo de venado	
	Arroyo Para				Xochistlahuaca	Guerrero														mixteco de Xochistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoPara	arroyo para	
	Arroyo Platanar				Xochistlahuaca	Guerrero														mixteco de Xochistlahuaca	tu’un savi	[tũʔũ saβi]												ArroyoPlatanar	arroyo platanar	
	Arroyo San Pedro de Morelos				Malinaltepec	Guerrero														mixteco central de Guerrero	tno’on savi ~ tu’un savi	[tõʔõ saβi] ~ [tũʔũ saβi]												ArroyoSanPedroMorelos	arroyo san pedro de morelos	
	Arroyo Seco				Santiago Pinotepa Nacional	Oaxaca														mixteco del oeste de la costa	tu’un savi	[tũʔũ saβi]												ArroyoSeco	arroyo seco	
	Arroyo Tigrillo				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												ArroyoTigrillo	arroyo tigrillo	
	Asunción (Asunción Buenavista)				San Pedro Molinos	Oaxaca														mixteco de San Pedro Molinos	tu’un savi	[tũʔũ saβi]												AsuncionAsuncionBuenavista	asuncion (asuncion buenavista)	
	Asunción Nochixtlán				Asunción Nochixtlán	Oaxaca														mixteco del este	tu’un davi	[tũʔũ ðaβi]												AsuncionNochixtlan	asuncion nochixtlan	
	Atalaya				Santiago Yosondúa	Oaxaca														mixteco de Yosondúa	sa’an sau	[sãʔã sau]												Atalaya	atalaya	
	Atempa				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Atempa	atempa	
	Atlamajac				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Atlamajac	atlamajac	
	Atlamajalcingo del Río				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												AtlamajalcingoRio	atlamajalcingo del rio	
	Atocutla				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												Atocutla	atocutla	
	Atotonilco				San Antonio Huitepec	Oaxaca														mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]												Atotonilco	atotonilco	
	Atotonilquillo				Santiago Jamiltepec	Oaxaca														mixteco de Oaxaca de costa central baja	tu’un savi	[tũʔũ saβi]												Atotonilquillo	atotonilquillo	
	Atoyaquillo				Santiago Ixtayutla	Oaxaca														mixteco de Ixtayutla	tu’un savi	[tũʔũ saβi]												Atoyaquillo	atoyaquillo	
	Atzompa (San Pablo Atzompa)				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												AtzompaSanPabloAtzompa	atzompa (san pablo atzompa)	
	Ayotzinapa				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												Ayotzinapa	ayotzinapa	
	Azoyú				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												Azoyu	azoyu	
	Azoyuc				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												Azoyuc	azoyuc	
	Azozuca (Colonia Palmasola)				Ayutla de los Libres	Guerrero														mixteco de Ayutla	tu’un savi	[tũʔũ saβi]												AzozucaColoniaPalmasola	azozuca (colonia palmasola)	
	Bajada Tierra Colorada				Xochistlahuaca	Guerrero														mixteco de Xochistlahuaca	tu’un savi	[tũʔũ saβi]												BajadaTierraColorada	bajada tierra colorada	
	Bajo la Peña				San Juan Mixtepec	Oaxaca														mixteco de oeste central	sa'an ntavi	[sãʔã ndaβi]												BajolaPena	bajo la pena	
	Bajo la Peña				Cuyamecalco Villa de Zaragoza	Oaxaca														mixteco de Cañada central	tu’un savi	[tũʔũ saβi]												BajolaPena	bajo la pena	
	Bajo la Peña				San Antonio Huitepec	Oaxaca														mixteco de San Antonio Huitepec	tu’un savi	[tũʔũ saβi]												BajolaPena	bajo la pena	
	Barajillas (Barajilla)				Cuajinicuilapa	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												BarajillasBarajilla	barajillas (barajilla)	
	Barra de Tecoanapa				Azoyú	Guerrero														mixteco de Guerrero de la costa este	tu’un savi	[tũʔũ saβi]												BarraTecoanapa	barra de tecoanapa	
	Barranca Campeche				Santiago Amoltepec	Oaxaca														mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]												BarrancaCampeche	barranca campeche	
	Barranca Capi				Tlacoachistlahuaca	Guerrero														mixteco de Tlacoachistlahuaca	tu’un savi	[tũʔũ saβi]												BarrancaCapi	barranca capi	
	Barranca Ceniza				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												BarrancaCeniza	barranca ceniza	
	Barranca Chinche				San Sebastián Tecomaxtlahuaca	Oaxaca														mixteco del oeste	to’on savi	[tõʔõ saβi]												BarrancaChinche	barranca chinche	
	Barranca Cosida				Santiago Amoltepec	Oaxaca														mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]												BarrancaCosida	barranca cosida	
	Barranca de Águila (Yuuvitasu)				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												BarrancaAguilaYuuvitasu	barranca de aguila (yuuvitasu)	
	Barranca de la Palma				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												BarrancalaPalma	barranca de la palma	
	Barranca de Ratón				Santiago Juxtlahuaca	Oaxaca														mixteco del oeste alto	tu’un da’vi	[tũʔũ ðaʔβi]												BarrancaRaton	barranca de raton	
	Barranca del Otate				Tlapa de Comonfort	Guerrero														mixteco de Guerrero del norte	tu’un savi	[tũʔũ saβi]												BarrancaOtate	barranca del otate	
	Barranca del Venado				San Sebastián Tecomaxtlahuaca	Oaxaca														mixteco del oeste	to’on savi	[tõʔõ saβi]												BarrancaVenado	barranca del venado	
	Barranca Estaca				Tlacoachistlahuaca	Guerrero														mixteco de Tlacoachistlahuaca	tu’un savi	[tũʔũ saβi]												BarrancaEstaca	barranca estaca	
	Barranca Faisán				Metlatónoc	Guerrero														mixteco de Guerrero del este medio	tu’un Isasi ~ tu’un isavi ~ tu’un savi	[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi]												BarrancaFaisan	barranca faisan	
	Barranca Fiera				Santa Cruz Itundujia	Oaxaca														mixteco de Santa Cruz Itundujia	tu’un savi	[tũʔũ saβi]												BarrancaFiera	barranca fiera	
	Barranca Honda				Santiago Amoltepec	Oaxaca														mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]												BarrancaHonda	barranca honda	
	Barranca Mapache				Santiago Amoltepec	Oaxaca														mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]												BarrancaMapache	barranca mapache	
	Barranca Nueva				Santiago Amoltepec	Oaxaca														mixteco de Santiago Amoltepec	tnu'u ñuu savi	[tnũʔũ nũʔũ saβi]												BarrancaNueva	barranca nueva	
