id,village_name,village_name_alternative,municipality,state,latitude,longitude,isocode,glottocode,glottolog_name,glottolog_level,glottolog_super,glottolog_group,glottolog_latitude,glottolog_longitude,josserand_group,josserand_subgroup,josserand_code,inali_group,inali_endonym_ort,inali_endonym_ipa,egland_name,egland_perc,egland_level,egland_super,mtree_name,mtree_code,mtree_codealt,mtree_latitude,mtree_longitude,mtree_comments,coordinate.comparison,village_norm,Comments
NA,Barranca Faisán,NA,Metlatónoc,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del este medio,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca faisan,
NA,Barranca Fiera,NA,Santa Cruz Itundujia,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa Cruz Itundujia,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca fiera,
NA,Barranca Honda,NA,Santiago Amoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca honda,
NA,Barranca Mapache,NA,Santiago Amoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca mapache,
NA,Barranca Nueva,NA,Santiago Amoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca nueva,
NA,Barranca Obscura,NA,Santiago Amoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca obscura,
NA,Barranca Ocotera,NA,Metlatónoc,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del este medio,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca ocotera,
NA,Barranca Pobre (Rancho de Guadalupe) [Yuvi Tia Nda’vi],NA,Metlatónoc,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del este medio,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca pobre (rancho de guadalupe) [yuvi tia nda'vi],
NA,Barranca Rica,NA,Santiago Amoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santiago Amoltepec,tnu'u ñuu savi,[tnũʔũ nũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca rica,
NA,Barranca Salada,NA,San Jerónimo Xayacatlán,Puebla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca salada,
NA,Barranca Tecoani,NA,Ayutla de los Libres,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Ayutla,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca tecoani,
NA,Barranca Tecolote,NA,Copanatoyac,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Coapanatoyac,tno’on sawi ~ tu’un savi,[tnõʔõ sawi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca tecolote,
NA,Barranca Tigre,NA,Copanatoyac,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Coapanatoyac,tno’on sawi ~ tu’un savi,[tnõʔõ sawi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca tigre,
NA,Barranca Torcida,NA,San Sebastián Tecomaxtlahuaca,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barranca torcida,
NA,Barrilito,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrilito,
NA,Barrio Chico,NA,Santa María Huazolotitlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa María Huazolotitlán,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio chico,
NA,Barrio Chico,NA,Zapotitlán Palmas,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio chico,
NA,Barrio Chico,NA,San Pedro Atoyac,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio chico,
NA,Barrio Chico,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio chico,
NA,Barrio de Chabacano,NA,San Miguel Chicahua,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noreste,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de chabacano,
NA,Barrio de Guadalupe,NA,Acatlán,Puebla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del suroeste de Puebla,da’an davi ~ de’e dau,[ðãʔã ðaβi] ~ [ðeʔe ðau],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de guadalupe,
NA,Barrio de Guadalupe,NA,Ixpantepec Nieves,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de guadalupe,
NA,Barrio de Guadalupe,NA,San Luis Acatlán,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de San Luis Acatlán,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de guadalupe,
NA,Barrio de la Cruz,NA,San Juan Bautista Cuicatlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Cañada bajo,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de la cruz,
NA,Barrio de la Guadalupe,NA,San Miguel Tlacamama,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de la guadalupe,
NA,Barrio de la Playa (Tololote),NA,Villa de Tututepec de Melchor Ocampo,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Villa de Tututepec,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de la playa (tololote),
NA,Barrio de la Providencia,NA,Silacayoapam,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de la providencia,
NA,Barrio de las Flores,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de las flores,
NA,Barrio de los Herrera,NA,San Miguel Tlacamama,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de los herrera,
NA,Barrio de San Juan,NA,Totoltepec de Guerrero,Puebla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de san juan,
NA,Barrio de San Juan,NA,Ixpantepec Nieves,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de san juan,
NA,Barrio de San Marcos,NA,Alpoyeca,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del norte,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de san marcos,
NA,Barrio de San Martín (Palera),NA,Metlatónoc,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del este medio,tu’un Isasi ~ tu’un isavi ~ tu’un savi,[tũʔũ isasi] ~ [tũʔũ isaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de san martin (palera),
NA,Barrio de Santa Cruz,NA,San Miguel Huautla,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noreste,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio de santa cruz,
NA,Barrio del Calvario,NA,San Bartolo Soyaltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noreste bajo,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio del calvario,
NA,Barrio del Carmen (La Piedra Chimeca),NA,San Francisco Tlapancingo,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio del carmen (la piedra chimeca),
NA,Barrio del CBTA.,NA,Santiago Pinotepa Nacional,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste de la costa,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio del cbta.,
NA,Barrio del Gavilán,NA,Santiago del Río,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio del gavilan,
NA,Barrio del Perú,NA,Tezoatlán de Segura y Luna,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noroeste medio,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio del peru,
NA,Barrio El Barrero,NA,San Luis Acatlán,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de San Luis Acatlán,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio el barrero,
NA,Barrio El Socorrito,NA,Alpoyeca,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero del norte,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio el socorrito,
NA,Barrio Espinal,NA,San Martín Peras,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio espinal,
NA,Barrio Grande,NA,Santa María Huazolotitlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa María Huazolotitlán,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio grande,
NA,Barrio Grande,NA,Zapotitlán Palmas,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio grande,
NA,Barrio Grande,NA,San Pedro Atoyac,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio grande,
NA,Barrio Grande,NA,San Pedro Jicayán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio grande,
NA,Barrio Grande,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio grande,
NA,Barrio Guadalupe,NA,San Martín Peras,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio guadalupe,
NA,Barrio Guadalupe,NA,San Mateo Nejapam,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio guadalupe,
NA,Barrio Guadalupe,NA,San Luis Acatlán,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de San Luis Acatlán,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio guadalupe,
NA,Barrio Guadalupe,NA,San Miguel Achiutla,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio guadalupe,
NA,Barrio Ignacio Ramírez,NA,Tecoanapa,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero de la costa occidental,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio ignacio ramirez,
NA,Barrio Independencia (Colonia Nueva),NA,Tezoatlán de Segura y Luna,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noroeste medio,dedavi ~ tu’un savi,[dedaβi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio independencia (colonia nueva),
NA,Barrio Itundua,NA,San Pedro Jicayán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio itundua,
NA,Barrio la Garita,NA,San Juan Bautista Cuicatlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Cañada bajo,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio la garita,
NA,Barrio Libertad,NA,Zapotitlán Palmas,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio libertad,
NA,Barrio Llano Abajo,NA,Santa María Texcatitlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Cañada bajo,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio llano abajo,
NA,Barrio Miramar,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio miramar,
NA,Barrio Norte,NA,Cosoltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio norte,
NA,Barrio Ñucahua,NA,Santa María Huazolotitlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa María Huazolotitlán,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio nucahua,
NA,Barrio Nuevo,NA,Azoyú,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Guerrero de la costa este,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio nuevo,
NA,Barrio Nuevo Tres,NA,Ayutla de los Libres,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Ayutla,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio nuevo tres,
NA,Barrio San Isidro,NA,Coicoyán de las Flores,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san isidro,
NA,Barrio San Isidro,NA,San Antonio Sinicahua,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de San Antonio Sinicahua,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san isidro,
NA,Barrio San Jacinto,NA,Santiago Jamiltepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san jacinto,
NA,Barrio San José,NA,Coicoyán de las Flores,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste,to’on savi,[tõʔõ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san jose,
NA,Barrio San José,NA,Xochistlahuaca,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Xochistlahuaca,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san jose,
NA,Barrio San Nicolás,NA,San Pedro Atoyac,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de costa central baja,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san nicolas,
NA,Barrio San Sebastián,NA,Santa Inés de Zaragoza,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa Inés de Zaragoza,tnu’un davi,[tnũʔũ ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio san sebastian,
NA,Barrio Santa Cruz,NA,San Miguel Chicahua,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noreste,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio santa cruz,
NA,Barrio Santa Cruz,NA,Ixpantepec Nieves,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio santa cruz,
NA,Barrio Santa Lucía,NA,Santiago Chazumba,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio santa lucia,
NA,Barrio Shuñuu,NA,San Pedro Jicayán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Oaxaca de la costa central,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio shunuu,
NA,Barrio Tanchii (Barrio Tanchi),NA,Santiago Chazumba,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de la frontera Puebla-Oaxaca,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio tanchii (barrio tanchi),
NA,Barrio Tecomavaca,NA,San Juan Bautista Cuicatlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Cañada bajo,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio tecomavaca,
NA,Barrio Tejalpa,NA,San Miguel Amatitlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noroeste,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio tejalpa,
NA,Barrio Tierra Azul (Cuarta Sección),NA,San Miguel Tlacotepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,barrio tierra azul (cuarta seccion),
NA,Benito Juárez,NA,San Miguel El Grande,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del sur bajo,sahin sau,[sahin sau],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez,
NA,Benito Juárez,NA,San Esteban Atatlahuca,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del sur medio,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez,
NA,Benito Juárez,NA,Santa Catarina Yosonotú,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Yosonotú,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez,
NA,Benito Juárez,NA,Santo Tomás Ocotepec,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Sierra sur noroeste,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez,
NA,Benito Juárez,NA,Villa de Tututepec de Melchor Ocampo,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Villa de Tututepec,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez,
NA,Benito Juárez Yucunicoco,NA,Santiago Juxtlahuaca,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del oeste alto,tu’un da’vi,[tũʔũ ðaʔβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,benito juarez yucunicoco,
NA,Boca de Olla Zaragoza,NA,Santa Cruz Itundujia,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa Cruz Itundujia,tu’un savi,[tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boca de olla zaragoza,
NA,Boquerón,NA,San Miguel Huautla,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco del noreste,da’an davi,[ðãʔã ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boqueron,
NA,Brasil,NA,Santa Cruz Xoxocotlán,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco bajo de Valles,tu’un dau,[tũʔũ ðau],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brasil,
NA,Buena Vista,NA,Santiago Yosondúa,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Yosondúa,sa’an sau,[sãʔã sau],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,buena vista,
NA,Buena Vista,NA,Copanatoyac,Guerrero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Coapanatoyac,tno’on sawi ~ tu’un savi,[tnõʔõ sawi] ~ [tũʔũ saβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,buena vista,
NA,Buena Vista,NA,Santa Inés de Zaragoza,Oaxaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixteco de Santa Inés de Zaragoza,tnu’un davi,[tnũʔũ ðaβi],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,buena vista,
