Index,Verb,VerbClass,Spanish,Example,Verb.IMPF,Verb.PFV,Rest2
248,naki'o ñe'e na,y.t.,entregar (incompleto),Náki'o ñe'e na ve'e káva!a na nooí. Me está entregando la construcción incompleta. Deriv. de ki'o na,náki'o ñe'e na,ni naki'o ñe'e na,
249,ná koo dá'a ni,v.i.,NA,NA,NA,NA,"no ser necesario Ni seí chee iti ra, dá ni kaa ra xí'ín sato'o ri: “Ná koo dá'ani sa'a itii.” Las vacas comieron las milpas de este señor y le dijo al dueño de los animales: “No es necesario pagar.” Comp. de koo na», ná dá'a ni"
250,nako'on na,yv.t.,ponerse (un sombrero),"Nako'on na mvélo ná, dá ko'on na yúku. Van a ponerse sus sombreros para ir al monte.",náko'on na,ni nako'on na,Sinón. naño'o na
251,nako'on ña,v.i.,estancarse,Náko'on takuií ini tá'i torá kóon dai. El agua se estanca en las barrancas cuando llueve.,náko'on ña,ni nako'on ña,
252,nako'on ini na,v.i.,1. acordarse,"Ni nako'on ini na machití na, ni kandooan noo ití na. Se acordó de su machete que se quedó en la milpa. 2. volver en sí Ni kankao na, ta ni xi'i tóo na, tído sa ni nako'on ini na. Él se cayó y se desmayó, pero ya volvió en sí.",náko'on ini na,ni nako'on ini na,Var. ndiko'on ini na
253,nakuaka na,yv.t.,recoger (a una persona o un animal),"Ni kii na ve'e eskuelá, ni nakuaka na de'e na ndáka na kua'an nó'o ná ve'e na, chi ió choon ko'on na xí'ín xí. Vino a recoger a su hija de la escuela, la llevó a su casa, porque iba a un mandado con ella. Deriv. de kuaka na",nákuaka na,ni nakuaka na,Var. ndakuaka na
254,nakuati na,v.i.,rezar,Ni sa'an na nakuati na sa'á iin ñayuu kú'u. Fueron a rezar por un enfermo.,nákuati na,ni nakuati na,
255,nakuchi na,v.i.,"1. estar untado, estar bañado","Ni nakuchi rí tata, ta sa kua'an nduva'a va rí kee ña. El animal está bañado de medicina y por eso ya está sanando. 2. embarrarse Ni nakuchi xi ndei'i. El niño se embarró de lodo. Deriv. de kuchi naz",nákuchi na,ni nakuchi na,
256,nakuido na,y.t.,cargar (en la espalda),"Ko'in nakuioi taleéi, ta ko'in natu'í, chi ndéí'i ndava'o xi. Voy a cargar a mi niño en la espalda porque llora mucho y voy a barrer. Deriv. de kuido na",nákuido na,ni nakuido na,Var. nakuio na
257,nakuiin naá,v.i.,oscurecerse,Deriv. de kuiin naá,nákuiin naá,ni nakuíin naá,
258,nakuiin ndei na,y.i.,agacharse (sujeto singular),"Nákuiin ndei na naki'in mvélo ñó'o na, chi ni kana kao ña. Se agacha para tomar su sombrero, porque se cayó. Deriv. de kuiin ndei na",nákuiin ndei na,ni nakuíin ndei na; suj. pl nakuita ndei na,
259,nakuiin ndichi na,y.i.,"pararse, levantarse (sujeto singular)",Ni nakuíin ndichi na karsá'á ná. Se paró a bailar. Deriv. de kuiin ndichi na,nákuiin ndichi na,"ni nakuiin ndichi na, ni nakuíin ndichi na; suj. pl nakuita ndichi na",
260,nakui'ino na,v.t.,"1. vestirse, ponerse (con vestido o camisa)",Nakui'ino mií xí do'ono xí. El niñito se va a poner su camisa. 2. vestirse Nakui'ínón dá'amon. Vete a vestir.,nákui'ino na,ni nakui'ino na,Véase kani'ino na
262,dákádí ná,v.t.,"tocar, hacer que suene (una campana)","Dákádí ná kaa, chi sa ni kuu va ndu'u takuáchí eskuelá. Él toca la campana, porque ya llegó la hora de que los niños entren a la escuela. Deriv. de kadí ñá",dákádí ná,ni dakádí ná,
263,dákadó na,yv.t.,NA,NA,NA,NA,"1. tostar, rostizar Dákadó na yá'a kava'a na ndéi keí ná. Tuestan los chiles para hacer mole. 2. freír Dákadó na tiyaká kadini na na'a viti. Ellos fríen pescados para almorzar esta mañana. 3. asar Dákadó na koño tasajó noo xóo keí ná. Ellos asan el pedazo de"
264,dákáka na,v.t.,1. hacer que camine,Dákaka na taleé dá ná kati'a xi kaka xi. Hacen que camine al bebé para que aprenda a caminar. 2. manejar (carro o camión) Ti'a na dákáka na kamión. Él sabe manejar. Deriv. de kaka na,dákáka na,ni dakáka na,
265,dákáka na choon,y.t.,"avisar, anunciar","Ná dákáka yó choon noo ndidaá na ve'e yó, dá ná nditútí ná kantó'ón yó. Hay que avisar a nuestra familia para que se reúnan para ponernos de acuerdo.",dákáka na choon,ni dakáka nachoon,
266,nana na,v.i.,subir,Konana na vei na. Viene subiendo.,hab. nána na,progr. konana na;  ni nana na,Véase kana na;
267,dánána na,v.t.,"freír naná s. madre, mamá 4 naní niñita, mamita (vocativo, término de cariño) nana!'a na v.i. volver a aparecerse",Deriv. de kana'a ña,nána'a na,ni naná'a na,
267,"dánána na v.t. freír naná s. madre, mamá 4 naní niñita, mamita (vocativo, término de cariño) nana!'a na",v.i.,volver a aparecerse,Deriv. de kana'a ña,nána'a na,ni naná'a na,
268,nana ndaa na,y.i.,volver a retoñar,Ni nana ndaa nóma yíto noó ni ta'anda ra ñoó. El árbol volvió a retoñar en el mismo corte.,hab. nána ndaa na,progr. konana ndaa na;  ni nana ndaa na,
269,nandaka na,y.t.,acompañar (de regreso),"Ni sa'an na ni nandaka na mváa ná ve'e ra, chi xíni ra. Él fuea acompañar a su compadre a su casa porque está borracho.",nándaka na,y  ni nandaka na,
270,nande'é ná,yv.i.,recobrar (la vista),"Ko túu ka noo ná ní kúu tído ni ndata ñá ta kúú ni nande'é tuku na. Ella ya no miraba, pero se operó los ojos y recobró la vista.",nánde'é ná,ni nande'é ná,
271,nandei na;,v.i.,"1. estar (sujeto plural) 2. volver a vivir, volver a habitar (sujeto plural)","Ni nandei ndi'i tuku va na iin ve'e. Viven juntos todos otra vez en una casa. Deriv. de kandei na,",nándei na,ni nandei na,Var. ndandei na
272,nandei va!a na,v.i.,"volver a vivir (juntos en paz), reconciliarse","Ni nandei va'a na viti, chi ko naá ka na. Ya se reconciliaron; ya no pelean. Deriv. de va'a",nándei va'a na,ni nandei va'a na,Var. ndandei va!a na
273,nandió káo ini na,v.i.,arrepentirse (sujeto singular),Ni nandió káo ini na dikó ná chee na. Se arrepintió de vender su vaca.,nándió káo ini na,ni nandió káo ini na,Véase nandió kuéi ini na
274,nandió koo na,y.i.,"regresar, volver (sujeto singular)","Kua'an xiká vá ki'oi, dá nandió koo xi kasaa xi. Mi hermano se fue lejos y va a volver. Deriv. de ndió koo na",nándió koo na,ni nandió koo na,Véase nandió kuéi na
275,nandió kuéi na,y.i.,"regresar, volver (sujeto plural)","Na'á ndava'o kua'an nandió kuéi ini na na, ta viti kían nandió kuéi va na kasaa na. Tiene mucho tiempo que se fueron, pero ahora van a regresar. Deriv. de ndió kuéi na",nándió kuéi na,ni nandió kuéi na,Véase nandió koo na
276,nandió kuéi sátá ná,y.i.,NA,"voltearse (hacia atrás), regresar (sujeto plural)",nándió kuéi sátá ná,ni nandió kuéi sátá ná,Véase nandió koo sátá ná
277,nandió né'e na,v.t.,1. voltear,"Ni nandió né'i dita noo xóo. Volteé la tortilla en el comal. 2. devolver 3. contestar Ko ñá'a nandió né'e na kartái. Todavía no contestan mi carta. Comp. de ndio ña, kane'e na,",nándió né!'e na,ni nandió né'e na,
278,nandixi na,y.t.,1. ponerse (rebozo o sarape),"Ni nandixi xi peín xi, chi ko'on xi karsá'á xí. Se puso su rebozo porque va a ir a bailar. 2. ponerse (ropa) Ni nandixi na dá'on ná dá kua'an na noo yá'i. Se puso su ropa para ir al mercado. Deriv. de kandixi na",nándixi na,ni nandixi na,Var. nandii na Véase dándixi na
279,nandodó na,y.t.,olvidarse,Ni nandodói kane'i títo kixi. Se me olvidó traer leña.,nándódó na,ni nandodó na,
280,nanduchi ña,yv.i.,1. pelarse (cuernos del toro),"Ndíki chee nánduchian, chi sa ni kuu va kuti rí. Los cuernos del toro están pelándose; ya está listo para trabajar en la siembra. 2. caerse (pintura), despintarse Ni nanduchi va kolor ve'e káa. Se está cayendo la pintura de esa casa.",nánduchi ña,ni nanduchi ña,
281,4 chindu'u ná,yv.t.,NA,NA,"poner, tender (en el suelo, complemento singular)",NA,"establecer (fig.) nane'e na, (Var. de ndane'e na) insultar, criticar nane'e na» (Var. de ndane'e na») levantar"
282,nani'i ndée ná,v.i.,descansar,"Ka usi iin dá náni'i ndée takuáchí ve'e eskuelá. A las once descansan los niños de la escuela. Comp. de ni'i ná, ndée,",náni'i ndée ná,ni naní'i ndée ná,
283,nañoo na,v.t.,"1. levantar (la milpa), labrar (un terreno)","Ko'on xi nañoo xi iti parselá, chi kámani vá nañooan. Va air a levantar la milpa de la parcela, porque todavía no la labran. (Levantar la milpa es empujar la tierra alrededor de cada planta de la milpa.) 2. limpiar (un pozo) Ni nañoo na posó, chi ko ta'ón takuií llaví. Limpiaron un pozo porque no hay agua de la llave. Deriv. de ñoo naz",náñoo na,ni nañoo na,Var. ndañoo na
284,naño!'o na,yv.t.,ponerse (un sombrero),"Náño'o xi mvélo xí, chi ko'on xi yúku. Se pone su sombrero porque va a ir al monte. Deriv. de kaño'o na,",NA,pres. náño'o nay  ni naño'o na,Sinón. nako'on na
285,narkuei ña,y.i.,colgarse (sujeto plural),"Luu ndava'o kée chángo, dá chi nárkuei rí xí'ín ndó'o ri. Qué chistoso hacen los changos; se cuelgan de su cola.",nárkuei ña,ni narkuei ña,Var. narakuei ña
286,nasaa na,v.i.,"llegar (allá, a su casa)",Sa nasáa va na ña ni sa'an na Niko'óyó. Ya llegó de México.,násaa na,ni nasáa na,
287,nata'an na,v.t.,"1. recorrer, abarcar","Ni nata'an na iin níí ñoo ni xionoo na ni dikó ná. Recorrió todo el pueblo vendiendo. 2. cumplir (un tiempo) Ta kúú tá ni nata'an ona kuu xí ta kúú kua'an xi kodo ndúta xí noó duti. Cuando el bebé cumplió ocho días de vida, lo llevaron a ser bautizado por el sacerdote.",náta'an na,ni nata'an na,
288,nata'an ini na,v.t.,"agradar, gustar, estar de acuerdo",Ni nata'an va ini na ndí kián ni keei. Está de acuerdo con lo que hice.,náta'an ini na,ni nata'an ini na,Var. ndata'an ini na
289,natai ña,v.i.,volver a oír,Ni sa'an na ni ketátá ná noo doktor ta kúú ni natai do'o na. Fue a curarse al doctor y ya oye (lit. sus oídos vuelven a oír) bien. Deriv. de katai ña,nátai ña,ni natai ña,
290,nata'í ná,v.t.,"engendrar, procrear",Na fioo káa ni nata'í ná iin ka fioo. Aquel pueblo engendré aquel otro pueblo. Deriv. de ta'í rí,náta'í ná,ni nata'í ná,
291,nataka na,v.i.,"juntarse, reunirse",Koni ni nataka kua'á ndava'o taa noó ni nandió kao kamión. Ayer se juntaron muchos hombres donde se volteó el carro. Deriv. de taka na,nátaka na,ni nataka na,
292,nataki na,v.i.,volver en sí “,"Ni xi'i yi'í vá Juan koni, tído yachi va ni nataki xi”, kaá na. “Se desmayó Juan ayer, pero pronto volvió en sí”, dijo. Deriv. de kataki na",nátaki na,ni nataki na,Var. ndataki na
293,natei na,yv.t.,"dar (de nuevo), devolver","Natei yo'ó guitarra yu'u, dá chi ko'on va yu'u. Devuélveme mi guitarra porque yo ya me voy. Deriv. de tei na",nátei na,ni natei na,
294,natiin ña,y.i.,"ser pegado (planta, parche)",Sa ni natiin va parché bisicletá. El parche fue pegado a la bicicleta. Deriv. de tiin na,nátiin ña,ni natiin ña,
295,natiin ndaa na,y.t.,NA,NA,NA,NA,"guiar, dirigir (moralmente) Ko kúndúsá'ano xi, tído ni natiin ndaa ñaá na ve'e xi. Él no se portaba bien, pero ahora lo guían sus padres."
296,natiin va'a na,y.t.,"recibir (bien), dar la bienvenida","Ni natiin va'a na Juan ve!e na ió na. Recibieron bien a Juan y vive en su casa. Deriv. de tiin na, va'a",nátiin va'a na,ni natiin va'a na,
297,natoon na,yv.t.,prender (para que ilumine),"Ni natoon na íti, chi ko ta'ón lus. Ellos prendieron la vela porque no hay luz.",nátoon na,ni natoon na,
298,natuu ñá,yv.i.,enrollarse,"Ni natuu vá yi'o, sa'á ñoó a nákato tá'an ka ña. Alguien enrolló el hilo (lit. se enrolló el hilo) ya no se va a enredar.",nátuu ñá,ni natuu ñá,
299,dánátuu na,v.t.,NA,NA,NA,NA,revelar (un secreto)
300,natuu na,v.i.,"arrimarse, acercarse",Ni ndatuu na noo kándu'u iin taleé ndéí'i xi. Se acercó a donde estaba acostado un bebé llorando.,nátuu na,ni natuu na,Var. ndatuu na
301,naxinokoo na,yv.i.,"llegar (arriba), subir","Ni naxinokoo na dini yúku, ñoó ñó'o kíti ná ni naní'i ná. Subió hasta la punta del monte y allí encontró sus chivos.  Deriv. de xinokoo na",náxinokoo na,ni naxinokoo na; suj. pl naxinokuei na,"Var. naxinkoo na naxinokuei na (suj. pl. de naxinokoo na) llegar (arriba); subir (sujeto plural) Var. naxinkuei na ná xio dá'a ni interj. Indica algo que pasó, pero hubiera sido mejor que no hubiera pasado. Ná xio dá'a ni ko'in Ñadeen kuiin kui'i, dá chi ni kasáa na dikó kui'i ñoo yó'o. Hubiera sido mejor no haber ido a comprar frutas a Huajuapan porque han llegado vendedores de frutas aquí al pueblo. Deriv. de xio Var. ní xio dá'a ni nayaa ña v. i. secarse Ni kidi ni'inii dá'on, dá ko'in chirneei ña nayaan. Sacudí la ropa y la voy a tender para que se seque. [pres. náyaa ña; pas. ni nayaa ña] Var. ndayaa ña"
302,kane'e ndaa na,v.t.,NA,NA,NA,NA,abrazar (a un bebé)
303,kediki ndaa na,yv.t.,NA,NA,NA,NA,burlarse (de manera ofensiva)
304,koto ndaa na,v.t.,NA,NA,NA,NA,"asomar, mirar (hacia el otro lado)"
306,4 kuaki ndaa na,y.t.,NA,NA,NA,NA,"burlarse, reírse (de alguien)"
307,kuein ndaa na,v.t.,NA,NA,NA,NA,patear
308,dándáa na,yv.t.,NA,NA,NA,NA,afinar (instrumento musical)
309,dánda'á na,v.t.,NA,NA,NA,NA,"engordar nda'á, adj. gordo Kochí nda'á kúú kirí ndáka na. Ellos tienen puros marranos gordos."
310,kandoo ndá'a ná,v.i.,NA,NA,quedar en la quiebra,NA,quedar desamparado 4 kani ndá'a ná v. i palmear (para llamar la atención); aplaudir
311,ke'é ndá'a ná,v.t.,NA,NA,manosear,NA,agarrar (ilícitamente)
312,dákána kao na,y.t.,dejar caer (complemento singular),"Ni ta'í ná nduu koní na, chi ni dakána kao na ña ndaa noo ñó'o. Ella quebró el huevo de su guajalota; lo dejó caer al suelo.",dákána kao na,ni dakána kao na; compl. pl. dankuei na,
313,dákaón na,y.t.,poner (pantalón o falda a otra persona),Dákaón na xí sati xi. Ella le pone su pantalón al niño.,dákaón na,ni dakaón na,"Var. dánaó ná, dánamá na Véase kanaó ná, nakaón ná"
314,dákásá'á ná,v.t.,NA,NA,NA,NA,hacer que empiece Ni dakásá'á ná tandó'ó. Ellos
315,dákáta na,v.t.,"tocar, prender (radio o grabadora)",Dákata ndó kaa xaan ná kueídó'o yó yaa. Prendan la grabadora para escuchar canciones. Deriv. de kata naz,dákáta na,ni dakáta na,
317,dákátoó na,v.t.,1. provocar (antojo),"Dákátoó na díkó ña vidi takuálí, xí'ín ña vidi dá ná kuiin xi ña. Las personas que venden dulces provocan el antojo de los niños mostrándoles los dulces para que compren. 2. convencer Dákátoó na taló'o xí'ín ña vidi, dá kandía xi ko'on xi choon. Convence el muchacho con dulces para que acepte ir al mandado. Deriv. de katoó na",dákátoó na,ni dakatoó na,Var. dátoó na
318,dákei na,v.t.,1. quemar,"Ni dakéi na xe'e ná chi kini fian ndéi ña yé'é ná. Quemaron su basura, porque se ve muy fea en el patio. 2. empeorar Ko ní káti'a na dándí'i na tandó'ó, di'a ni dakéi na ñá. No supieron dar fin al problema, por el contrario lo empeoraron. Deriv. de kei ña",dákei na,ni dakéi na,
320,nda'a ini na,v.i.,NA,eructar,nda'á ini na,ni nda'a ini na,
321,"nda'á yata s. palo, mano (del arado) Comp. de ndá'a, yata nda'á yíto s. 1. hoja (de un árbol) Ni kuei ndi'i va nda'á yíto. Se cayeron > o o todas las hojas del árbol.  vaa ndá'a kuálí sección (del 2. rama (de un árbol) Nda'á yíto ñoó dedo) kúú noo kána kuei. Las ramas de ese ndá'ándá (Var. de lá'álá) aguado árbol producen la hojarasca. Comp. de ndá'a, yíto ndá'a yodó (Var. de nda'á yada) metlapil nda'á yo'o (Var. de ndáyo'o) zacate ndaá yú'u ná (pres. de kandaa yú'u ná) está instruyendo ndachí ña",v.i.,volar (no por su propia fuerza),Ni ndachí va dá'amoí kua'an ni kee tachi. Mi ropa tendida se fue volando por el aire.,ndáchí ñá,ni ndachí ñá,
322,kandodó ndachí ná,v.i.,NA,NA,NA,NA,"flotar (sobre el agua, sujeto plural)"
323,kanóo ndachí ná,v.i.,NA,NA,NA,NA,"flotar (sobre el agua, sujeto singular) ndá choon ña adv. ¿para qué? ¿Ndá choon kuu mií ní chee ña ni xiin ní ri? ¿Para qué quiere usted el buey que compró? 4 ndá choon kuu na ña ¿para qué lo quiere? ndadá adv. nomás, solamente Tído viti ndadá óni va kíti ndáka na. Pero ahora nomás tres chivos cuidan. ndadaká na (Var. de ndudaká na) recoger sobras"
324,kanoo nda'í na,v.i.,NA,NA,NA,NA,"andar, caminar (vagando porque no tiene casa)"
325,kunda'í ini na,v.i.,NA,NA,NA,NA,estar triste
326,ndaka na,y.t.,"reclamar, pedir (dinero que se debe)","Sá!an iin taa ni xe'e tóo di'ón ndáka raán. Dá kaá ra xí'ín ná: “Dá kee ní tata ndukú nían, ná naki'in nda'ávíi.” Un señor que prestó dinero fue a pedirlo. Dijo: “Pobre de mí, haga usted la lucha para buscar mi dinero y entregármelo.”",ndáka na,ni ndaka na,
327,ndáka na (pres. de kandaka na) está trayendo (persona); está cuidando (animal) ndákaa (Var. de nda'á kaa) llave ndaka na ña mani,y.t.,pedir (perdón a alguien),"Ni ndaka na ña mani noó tató'o káa, sa'á de'e na, chi ni ya'a xi noo rá. Le pidieron perdón al señor por su hijo porque se portó mal. Comp. de ndaka na, mani",ndáka na ña mani,ni ndaka na ña mani,
328,ndaki na,v.t.,"afilar, sacar filo","Ndakí na machití na noo yuu ndéí, dá ndudeeán. Ellos están afilando sus machetes en las piedras ásperas para sacarle filo.",ndakí na,ni ndaki na,
329,kendakí ná,y.t.,NA,NA,NA,NA,enfrentar (con fuerzas)
330,kundakí ná,v.i.,NA,NA,NA,NA,hacerse fuerte
331,ndendakí ná,v.t.,NA,NA,NA,NA,ponerse fuerte
332,ndaki ini na,y.t.,"planear, inventar","Va'a ni ndaki ini na to'on ki'o koo yata ná, sa'á ñoó va'a káa rá. Él planeó bien el diseño de su arado, por eso está bien hecho. Comp. de ndaki ña, ini,",ndáki ini na,ni ndaki ini na,
333,ndaki tóni ini na,y.i.,"ocurrirse (en la mente de repente, no planeado)","Ndaki tóni ini na ko'on na kechóon na yúku viti. Se le ocurre ir a trabajar en el campo hoy. Deriv. de ndaki ña, ini,",ndáki tóni ini na,ni ndaki tóni ini na,
334,ndakono na,v.i.,levantarse (impulsado por algo),"Tá ni xini iin ilo kárxóo yati ñayuu ta kúú ndakono rí kua'an ri. Cuando un conejo ve que llega cerca una persona, se levanta y se va.",ndákono na,ni ndakono na,
335,ndakoo na,y.i.,"levantarse, pararse (sujeto singular)","Nakoo, ná dá'a ka ni kándu'on, dá chi kana'á nató'o káa xí'á. Levántate ya no te acuestes porque se van a burlar de nosotros.",ndákoo na,ni ndakoo na,Var. nakoo na Véase ndakuei na
336,ndakoo dana na,y.i.,despertarse (por una pesadilla),"Ni ndakoo dana de'e na, chi ni yu'ú xi noó sádikí xi. El niño de ella se despertó por una pesadilla porque tuvo un susto durante el día jugando.  Comp. de ndakoo na, dana",ndákoo dana na,ni ndakoo dana na,
337,ndane'e na,y.t.,"traer, llevar",Dá ni kasáa ñadi'í taa ñó'o ve'e kaa ñoó nane'e na dita keí rá. Las esposas de los hombres en la cárcel llegaron llevando tortillas para ellos.,ndáne'e na,ni ndane'e na,Var. nane'e na
338,ndane'e noo ná,yv.i.,levantar (la mirada),Ni ndane'e noo ná ni sa nde'é ná noó ni kañá. Él levantó la mirada para mirar hacia el lugar donde se escuchó un ruido. Deriv. de nooy,ndáne'e noo ná,ni ndane'e noo ná,
340,nda'o na,y.t.,"apagar, extinguir","Ko'in nda'oi yúku, chi kéi ña. Voy a apagar el cerro, porque se está quemando.",nda'ó na,ni nda'o na,
341,nda'o ña,v.i.,1. apagarse (por sí solo),"Ni nda'o va ñó'ín, dá chi kána nda'o tachi. Se apagó mi lumbre, porque hace mucho aire. 2. marchitarse (flor) Ni saa ita to'on oni kuu, kúú ni nda'o vaan. Floreció como por tres días y luego se marchitó.",ndá'o ña,ni nda'o ña,
342,ndao ndodó ná,y.t.,"brincar, saltar (encima)",Ni ndao ndodó ná sata korrá iin ka ñayuu. Él saltó la barda de otra persona. Deriv. de ndao na,ndáo ndodó ná,ni ndao ndodó ná,
343,ndao ni'ini na,v.i.,brincar (de un lado aotro),"Kúú ni ndao ni'ini ndigie'í ni tiin rí tiñoó leé ndu'u. El coyote brincó rápidamente y agarró nuestro pollito. Comp. de ndao na, ni'ini",ndáo ni'ini na,ni ndao ni'ini na,
344,ndarnee rí,v.i.,volar,Ni ndarnee iin laa kua'an ri táka ri. Un pájaro voló hacia su nido.,ndárnee rí,ni ndarnee rí,Var. narnee rí Véase karnee na
345,ndató'ón kuáchi na,v.i.,discutir (por duda o desconfianza),"Ndátó'ón kuáchi na sa'á di'ón. Ellos discuten sobre el dinero.  Comp. de ndató'ón ná, kuáchi",ndátó'ón kuáchi na,ni ndató'ón kuáchi na,
346,ndató'ón mani ná,yv.i.,"reconciliarse (por medio de una plática), platicar (para reconciliarse)","Ni ndató'ón mani ná xí'ín Mariá chi ni naá na tído ni nandei va'a na. Ella se reconcilió con María porque estaban peleadas, pero volvieron a vivir en paz.  Comp. de ndató'ón ná, mani",ndátó'ón mani ná,ni ndató'ón mani ná,Var. nató'ón mani ná
347,ndató'ón yú'u ná,v.i.,hablar (personalmente),"Va'a ka ndató'ón yú'u ní xí'ín ñadi'í ní dá keyíko ní tandó'ó ní xí'ín ná. Es mejor que hable personalmente con su esposa para arreglar su problema con ella. Comp. de ndató'ón ná, yú'u",ndátó'ón yú'u ná,ni ndató'ón ndatuu na yú'u ná,
348,kandoo ndava'a ña,v.i.,NA,NA,NA,NA,quedar abandonado
349,kanoo ndava'a na,v.i.,NA,NA,NA,NA,andar (perdido o abandonado)
350,kendava'a na,v.i.,NA,NA,NA,NA,"molestar, maltratar"
351,ndayakó ndaa na,v.t.,lamer,"Nákaa iin tina, ndáyakó ndaa ri ini sartén noó ni cho'o nduu. Un perro está lamiendo un sartén donde se coció huevo.",ndáyakó ndaa na,ni ndayakó ndaa na,Var. nayakó ndaa na Sinón. kayi'i ndaa na
352,kande'é ná,v.t.,NA,NA,NA,NA,"ver, mirar"
353,dándée na,v.t.,NA,NA,NA,NA,estirar
354,ndee na»,v.i.,salir (a otro lugar),Ni ndee na iin ñoo dá kua'an na iin ka ñoo. Salieron de un pueblo y se fueron a otro.,ndée na,ni ndee na,
355,ndee naz,v.t.,"hacer que sea, transformar",Ni kandeé ná ni ndee na ta tondó kúú rá iin taa va'a. Ellos pudieron transformar al hombre violento en un hombre tranquilo.,ndée na,ni ndee na,
356,nani'i ndée ná,v.i.,NA,NA,NA,NA,descansar
357,ndundeé ini na,v.i.,NA,NA,animarse,NA,recuperarse
358,dándee na,v.t.,NA,NA,NA,NA,"transplantar, plantar (planta): terminar de tejer (sombrero o petate)"
360,dákodo ndúta ná,v.£,bautizar,Deriv. de kodo ndúta ná,dákodo ndúta ná,ni dakódo ndúta ná,
361,dákóno na,y.t.,"hacer huir, animar a huir",Ni dakóno na ñayuu ní'i kuáchi. Ellos hicieron huir a la persona acusada.,dákóno na,ni dakóno na,Sinón. dákuíno na
362,dákóon na,y.t.,"1. hacer que caiga (lluvia, granizo)  2. hacer que venga (calor)",Dákóon kirí túxí mayó ká'ani. Dicen que la chicharra hace que venga el calor.,dákóon na,ni dakóon na,
364,ndee yú'u ná,v.t.,confesar (lit. estirar la boca),"Ni ndee yú'u xí noó na ve'e xi. El niño les confesó a sus padres. Comp. de ndee na;, yú'u",ndée  yú'u ná,ni ndee yú'u ná,
365,dándée na yú'u ná,v.£,NA,NA,NA,NA,interrogar
366,kandita ndei na,v.i.,NA,NA,NA,NA,"estar agachados, estar inclinados (sujeto plural)"
367,karkaa ndei na,v.i.,NA,NA,"estar colgado (boca abajo, sujeto singular)",NA,estar (una cascada)
368,koo ndei na,v.i.,NA,NA,NA,NA,estar sentado (agachado)
369,ndei na,v.i.,1. temblar (persona),"Ndéi na chi ni yu'ú na ni kee koo. Él está temblando porque vio una culebra y se espantó. 2. moverse, temblar (la tierra) Ni'i ndava'o ni ndei ñó'o, tá ni taan. La tierra se movió muy recio cuando tembló. 3. estar nervioso, estar tembloroso Ndéi na chi ko ió va'a ini na, kúyu'ú ini na. Él está tembloroso porque no está bien de salud; él siente temor.",ndéi na,ni ndei na,
370,ndei'i na,v.i.,"llorar, chillar","Ndéí?i nda'o kochí, chi ko kásaai ko'in ne'i yuku kei ri. El marrano chilla mucho porque no tengo tiempo de darle hierba para comer.",ndéí'i na,ni ndei'i na,
371,ndei'i kó'ó ná,v.i.,llorar (fuertemente),"Tá ni xi'i de'e na, ndéí'i kó'ó naná xi sa'a xí, ta ló'o ndava'o ni sa kuu xi. Cuando murió su hijo, su mamá lloró muy fuertemente porque él era muy joven.",ndéí'i kó'ó ná,ni ndei'i kó'ó ná,
372,ndei'i kuachi na,y.i.,"quejarse, reclamar",Ndéí'i kuachi na noó ta né!e choon sa'á ña koó takuií. La gente reclama a las autoridades porque hace falta agua. Deriv. de kuachi,ndéí'i kuachi na,ni ndei'i kuachi na,
373,ndeí kati'a na,y.t.,"no poder, no saber (hacer algo, lit. donde sabría)","Ndeí ti'a ví yu'u ka'i nda'ávíi. No puedo leer en mixteco. Comp. de ndeí;,, kati'a naz",ndeí ti'a na,ndeí ní kati'a na,Var. ndeí kati'a ri na
374,ndeká'ano na,y.t.,1. ampliar (sujeto singular),"Ni ndeká'ano na ve'e na, chi ni dakóon na náo íin ini ve'e na. Ellos ampliaron su casa porque tumbaron el muro de en medio que estaba dentro de su casa. 2. ampliar, empeorar (fig., sujeto singular) Ko ní káti'a na dándiko na tandó'ó, di'a ni ndeká'ano na ña. Él no supo calmar el problema, al contrario lo empeoró (lit. amplió). Deriv. de ká'ano",ndéká'ano na,ni ndeká'ano na,
375,ndeló'o na,v.t.,"achicar, hacer que sea chico",Ni ndeló!o va na ñó'o ná chi ni dikó ná iin tá'í ña. El achicó su terreno porque vendió una parte. Deriv. de ló'o,ndéló!o na,ni ndeló'o na,
376,ndená'ano na,v.t.,NA,NA,NA,NA,ampliar (sujeto plural) Deriv. de ná'ano
377,ndendaa na,y.t.,corregir,"Ni ndendaa na de'e na, chi ni tiin na xi ta ni ka'an ni'ini na noo xí ta ni danáni ñaá ná. Él corregió a su hijo porque lo agarró, aconsejó y regañó. Deriv. de ndaa¡",ndéndaa na,ni ndendaa na,
378,ndendakí ná,y.t.,ponerse fuerte,"Ni ndendakí ná mií ná ta ko íin kándéé tiin ñaá, chi xíni na cháá. Él se puso muy fuerte y nadie lo podía sujetar porque estaba un poco borracho. Deriv. de ndakí",ndéndakí na,ni ndendakí na,
379,ndesaá na,v.t.,"hacer nuevo, renovar","Ni ndesaá na ve'e na, chi ni nake'i na ñá. Ellos renovaron su casa porque la pintaron. Deriv. de saá",ndésaá na,ni ndesaá na,
380,ndeta na,y.i.,salir (regularmente),"Tá ni ndeta na noo chóon, dá kua'an nó'o na. Cuando sale del trabajo, se regresa a la casa.",hab. ndéta na,progr. kondeta na;  ni ndeta na,
